Filename	Success	Nchan	dof	chi^2	chi^2/dof	rms	A	dA	B_1	dB_1	B_2	dB_2	C	dC	XE_0	dXE_0	XP_0	dXP_0	W	dW	N	dN	X	dX	W_50	dW_50	W_20	dW_20	F_peak	dF_peak	F_int	dF_int
SPEC_J1521+5508.DAT	1	512	504	13.8167	0.0274141	0.01	0.00778927	0.572675	0.692495	3.45616	0.076481	0.806596	0.00420281	0.19356	255.258	278.089	262.363	54.8817	-0.880585	283.981	3.16597	25.2742	-2.5067	29.5071	8.36679	29.2695	44.272	52.6031	0.00449561	0.00729407	0.0845638	0.108885
J075756.71+395936.1_spec.txt	0	185	180	0.241625	0.00134236	0.01	0.00655138	0.234806	0.340817	2.67632	0.119726	2.02752	0	0	90.8445	103.148	0.1	0	1.85452	138.72	0	0	-0.739521	202.659	148.934	373.525	239.125	427.191	0.00337406	0.00554031	0.550101	0.871778
J080601.51+190614.7_spec.txt	2	185	180	0.791512	0.00439729	0.01	1.37668e+08	1.11139e+12	0.194235	0.498996	0.0175327	2.95175	0	0	-33.1694	46508.9	0.1	0	-129.532	46565.3	0	0	132.874	1385.49	219.478	19239.1	364.742	5380.16	0.0047415	0.0710578	1.19253	9.48207
J080938.88+345537.2_spec.txt	0	220	215	4.90866	0.022831	0.01	0.00185636	0.0224638	0.634579	14.2355	0.602881	13.465	0	0	25.5941	7.86344	0.1	0	2.08962	23.6619	0	0	-1813.97	171.905	77.068	442.388	109.732	467.102	0.00173255	0.00835967	0.136888	0.53699
J082133.60+470237.3_spec.txt	0	220	215	5.46628	0.0254246	0.01	0.0121685	0.11861	4.93272	1.36561e+10	4.61808	9.32065e+09	0	0	129.971	4.91676e+07	0.1	0	0.999809	4.91676e+07	0	0	-207.418	1.26617e+09	37.1535	1.30515e+09	42.5263	5.43723e+09	0.0121685	0.0100076	0.451957	2.22036e+07
J083548.14+151717.0_spec.txt	0	220	212	6.72368	0.0317155	0.01	0.00396251	0.0684984	0.543343	5.5452	1.99126	475.841	3.57439e-09	4.36692e-06	114.718	156.007	113.043	98.9812	1.2868	184.484	18.3879	597.04	-267.959	1599.37	19.526	1145.14	73.6132	4010.6	0.00923536	1.00826	0.43154	16.9338
J083637.84+440109.6_spec.txt	0	220	212	2.95894	0.0139573	0.01	0.000350755	0.0083521	1.63063	94.7559	0.377462	3.97291	0.29946	20.5953	168.393	14.5655	163.278	27.7816	9.59927	13.5236	1.12769	18.2715	760.135	279.835	184.999	743.11	373.869	513.585	0.00192846	0.00495349	0.407757	0.877917
J084307.11+453742.8_spec.txt	0	220	212	8.46553	0.0399317	0.01	0.115693	1.44269	0.390261	0.79163	0.539441	3.12611	0.0246481	13.9867	129.947	39.4875	131.991	152.739	1.29758	26.444	0.660928	707.754	35.4789	9.51921	78.6828	136.803	121.14	32.9262	0.0768997	0.009784	6.47107	1.29685
J090325.54+162256.0_spec.txt	0	220	212	3.34292	0.0157685	0.01	0.000875998	0.0346246	0.695879	9.70049	0.444019	4.4086	2.43244	67.8619	128.678	12.5317	129.213	6.41852	1.77409	61.0643	1.77623	33.1733	16.858	98.476	114.856	414.29	159.543	194.849	0.00509269	0.00997001	0.417111	0.659663
J090734.91+325722.9_spec.txt	0	220	212	4.76703	0.022486	0.01	0.0172922	7.8276	0.535196	12.7789	0.473442	5.09431	0.0321458	347.447	128.756	104.154	122.997	2941.42	2.15781	40.0804	0.68959	3801.67	16.8418	24.4895	82.0887	49.7731	120.055	52.4761	0.0168129	0.00840654	1.43252	0.61811
J090937.44+192808.2_spec.txt	0	220	212	0.377089	0.00177872	0.01	0.00152191	0.304092	0.431025	43.5305	3.24146	301729	0.0393985	271.072	129.895	1280.59	130.5	3162.02	2.08559	1378.47	3.55821	4109.02	1.70431	8177.09	119.897	125772	140.482	196886	0.00210616	0.00883807	0.212945	10.1012
J093551.59+612111.3_spec.txt	0	185	180	0.872412	0.00484673	0.01	0.0117245	0.0360291	0.0455085	0.111767	0.100731	0.181917	0	0	90.7364	23.0128	0.1	0	11.6499	42.1678	0	0	-73.8755	118.643	519.933	263.348	800.398	282.287	0.00869914	0.00303748	4.81491	1.51207
J102053.67+483124.3_spec.txt	0	185	177	0.744347	0.00420535	0.01	0.00158208	0.509924	0.893463	100.177	0.840654	12.3682	0.0525699	81.7648	90.0199	113.643	85.9803	4953.26	3.89501	100.152	1.46184	620.081	-53.8369	124.381	125.534	417.929	155.688	2057.41	0.00274032	0.00855214	0.311855	0.617166
J102400.53+511248.1_spec.txt	2	220	215	2.13636	0.00993658	0.01	2485.31	5.85868e+06	0.0258352	2.31391	0.765911	5.11656	0	0	179.865	12343.2	0.1	0	-62.8695	12348.5	0	0	-320.438	493.904	119.897	468.921	232.662	516.551	0.0039497	0.0176691	0.600827	1.23907
J102544.22+102230.4_spec.txt	0	220	215	1.91827	0.00892221	0.01	0.0148286	0.0124023	0.850547	2.1991	2.81121	1942.88	0	0	127.073	21.1055	0.1	0	1.86489	22.0577	0	0	-14.9537	183.135	64.2796	672.633	80.2756	1391.83	0.0148214	0.00990167	0.953453	10.6627
