Filename	Success	Nchan	dof	chi^2	chi^2/dof	rms	A	dA	B_1	dB_1	B_2	dB_2	C	dC	XE_0	dXE_0	XP_0	dXP_0	W	dW	N	dN	X	dX	W_50	dW_50	W_20	dW_20	F_peak	dF_peak	F_int	dF_int
J112030.04+273610.7_spec.txt	0	185	180	325.575	1.80875	0.000799453	0.0776145	0.440365	0.459541	0.593104	0.561299	0.445291	0	0	88.612	1.32957	0.1	0	0.419816	6.06337	0	0	1.27713e+09	4389.71	243490	7269.03	374836	9877.16	0.0297518	0.000662156	7778.74	187.146
J112332.04+235047.8_spec.txt	0	220	212	266.438	1.25678	0.00107519	0.00154039	0.0018666	0.875818	0.505478	0.680919	0.434133	6.21418e-05	0.000502084	32.4475	1.14741	32.9752	0.673236	1.55031	2.24487	10.9962	8.07631	1.18436e+09	72679.8	131219	51876.4	715758	200294	0.00378397	0.00121224	1004.19	279.945
J120231.12+163741.8_spec.txt	1	185	180	167.099	0.928329	0.000860939	0.032969	0.54696	0.353644	0.208375	0.0601623	0.181805	0	0	73.5377	75.3481	0.1	0	-6.3128	78.0518	0	0	1.26927e+09	136060	667063	164161	1.1493e+06	217543	0.00295939	0.000468969	2283.67	380.009
J120551.46+203119.0_spec.txt	0	220	215	443.411	2.06238	0.000305609	0.000886187	0.00084329	9.05947	2.03101e+17	0.921177	2.11307	0	0	115.133	5.30582e+14	0.1	0	1.08567	5.30582e+14	0	0	1.34305e+09	1.69276e+19	168999	1.6479e+19	228807	8.04698e+17	0.000878286	1.05387e+09	150.136	3.09977e+16
J120855.60+464113.8_spec.txt	0	220	215	307.053	1.42815	0.00043408	0.00279485	0.00508877	0.503428	0.813229	1.06471	1.19965	0	0	130.264	1.21231	0.1	0	1.1799	2.41167	0	0	1.38895e+09	28257.9	228097	70503.4	348313	65016.5	0.0021736	0.000459052	524.768	91.0458
J122513.09+321401.6_spec.txt	0	220	212	327.968	1.54702	0.000450304	0.00216321	0.000765328	0.621117	0.224799	1.35816	1.67729	0.0704826	1.16437	139.846	3.29162	140.678	5.83474	2.19545	1.18974	3.92252	10.3456	1.3402e+09	10753.2	222169	16651.6	531686	37849.7	0.00776946	0.000406463	2260.09	110.077
J123200.55+331747.6_spec.txt	0	220	212	340.523	1.60624	0.000232486	0.000865954	0.000530424	0.878782	0.355865	0.473975	0.141613	0.733693	0.941675	91.1049	0.431763	91.4097	0.343856	2.87026	1.22901	1.74958	1.33398	1.28185e+09	12766.4	583453	24769.4	724805	25707	0.00323876	0.000222842	1320.34	62.9103
J123905.13+174457.5_spec.txt	0	220	212	354.753	1.67337	0.00056404	0.00209673	0.0470202	1.13666	2.95229	0.71256	5.69014	0.0435447	5.06041	130.453	4.23727	133.028	345.664	2.15134	5.43597	1.1396	61.4887	1.33297e+09	52767.8	328821	127603	439389	786860	0.00241993	0.000714693	796.833	232.11
J124707.32+490017.9_spec.txt	1	220	212	225.983	1.06596	0.000372933	0.029454	0.737173	0.244481	0.168231	0.0870103	0.183938	0.215848	0.507427	69.0763	54.4944	75.6248	1.143	-6.94615	61.8627	1.80459	1.87604	1.31375e+09	74341.6	1.14189e+06	181453	1.59033e+06	160529	0.00157034	0.000210932	1574.25	163.107
J125433.26+185602.2_spec.txt	1	220	212	500.935	2.3629	0.000685898	0.00102493	0.0186856	1.60528	4.72338	0.0162961	0.109163	20.6264	69.1297	32.6312	408.913	32.1131	1.21022	-0.850627	410.926	2.10271	6.09745	1.33121e+09	6.58109e+06	5.23501e+06	9.88942e+06	7.7682e+06	1.50401e+07	9.77806	142.123	5.33742e+07	7.32349e+08
