#freq[Hz] vel[km/s] flux[Jy/beam] noise[Jy/beam] tau tau_noise
1320740459.63 22622.8419515 -0.000698843388818 0.00114393476004 -0.0100699580267 0.0167055224683
1320662337.51 22641.914024 -0.000719261472113 0.000870345667376 -0.0103626524059 0.0126846825176
1320584215.38 22660.9883531 -0.000635375501588 0.000718255585207 -0.00915959485559 0.0104564416572
1320506093.26 22680.064939 0.000256910454482 0.000470359711667 0.003727582448 0.00683517767065
1320427971.14 22699.1437823 0.000480526825413 0.00097893552316 0.00698344130949 0.0142786539089
1320349849.01 22718.2248832 -0.000124507845612 0.000345886753788 -0.00180153108489 0.00502180961729
1320271726.89 22737.3082423 0.000108210391772 0.000102602597916 0.00156836011004 0.00148702242529
1320193604.76 22756.3938599 0.00045420677634 0.000172967691617 0.00659966998142 0.00250810550682
1320115482.64 22775.4817364 -4.71278763143e-05 0.000503328836624 -0.000682285282146 0.00731603541088
1320037360.52 22794.5718722 -0.000251433055382 0.000645860924086 -0.00363470497624 0.00939754383456
1319959238.39 22813.6642677 8.43015732244e-05 0.000625140508136 0.00122162306087 0.00909467798887
1319881116.27 22832.7589233 -0.000238612148678 0.000166262437449 -0.00344968582631 0.00241075915948
1319802994.15 22851.8558394 -0.00106547516771 0.000485219696811 -0.0153126476052 0.00705188330807
1319724872.02 22870.9550164 -0.00138024950866 0.00111830216591 -0.019791970677 0.0163281223596
1319646749.9 22890.0564548 -0.000765660428442 0.00062173812972 -0.0110274657021 0.00904495492473
1319568627.78 22909.1601548 -0.000438511720859 0.000147472097042 -0.00633055979271 0.00213801296627
1319490505.65 22928.266117 -0.000698772142641 0.000122323898804 -0.0100689365587 0.00177309734295
1319412383.53 22947.3743417 -0.000457125483081 0.000367254066508 -0.00659839210587 0.00533286282965
1319334261.41 22966.4848293 -0.000278826482827 0.000409635427282 -0.00402990623586 0.00595011305184
1319256139.28 22985.5975803 -2.2496922611e-05 0.000133936843604 -0.000325753187454 0.00194159167393
1319178017.16 23004.712595 0.000160984098329 4.45510021424e-05 0.00233413531687 0.000645407364108
1319099895.03 23023.8298738 5.87659305893e-05 0.000122923892107 0.000851425763283 0.00178180205956
1319021772.91 23042.9494171 0.000252684258157 5.81775598471e-05 0.00366615089499 0.000842897604376
1318943650.79 23062.0712254 -8.13688602648e-05 3.06085148467e-05 -0.00117771110167 0.000443378704952
1318865528.66 23081.195299 -0.00071166647831 0.000445687193124 -0.0102537877465 0.00647547790762
1318787406.54 23100.3216383 -0.000522492686287 0.000622904848087 -0.00753838900852 0.00906200531049
1318709284.42 23119.4502438 -0.000174850050826 0.000369549359117 -0.00252902297472 0.0053662821525
1318631162.29 23138.5811158 -0.000329980044626 0.000399520070943 -0.00476747385175 0.0058027564536
1318553040.17 23157.7142548 -0.000300092127873 0.000526379970892 -0.00433659516147 0.00765237574048
1318474918.05 23176.8496611 -0.000332292023813 0.000369281314644 -0.0048007967291 0.00536237938344
1318396795.92 23195.9873352 -0.000894811586477 0.000351228786928 -0.0128756447658 0.00509956683361
1318318673.8 23215.1272774 -0.00100334582385 0.000747015091568 -0.0144261545209 0.0108774108448
1318240551.67 23234.2694882 -0.000201061266125 0.000699199875594 -0.002907590109 0.0101776100193
1318162429.55 23253.4139679 0.000617938814685 0.000243558791426 0.0089894338682 0.0035335169242
1318084307.43 23272.560717 0.000679251039401 0.000216974837911 0.00988579302954 0.00314723305711
1318006185.3 23291.7097359 0.000693772395607 0.000474024654574 0.0100982069361 0.0068886197806
1317928063.18 23310.861025 0.00105058168992 0.00083701797037 0.0153317282965 0.0121959802377
1317849941.06 23330.0145846 0.00101236253977 0.00095202648158 0.0147698350796 0.0138834239635
1317771818.93 23349.1704152 0.00101334787905 0.00123464598045 0.0147843174516 0.0180422492773
1317693696.81 23368.3285172 0.000398977397708 0.000739712648812 0.00579485161352 0.0107705040661
1317615574.69 23387.488891 -0.000668308697641 0.000656787792401 -0.00963208158236 0.00955729645768
1317537452.56 23406.6515369 -0.000359130208381 0.000366527429528 -0.0051875379742 0.00532228327151
1317459330.44 23425.8164555 -6.82350218995e-05 0.000233945694853 -0.000987709286751 0.0033938145285
1317381208.31 23444.9836471 -0.000134570058435 0.000373892611604 -0.00194698178533 0.0054295227048
1317303086.19 23464.1531121 0.000126636441564 0.000314625441482 0.0018356654974 0.00456689943163
1317224964.07 23483.3248508 0.000165341713 2.55529833631e-05 0.002397392895 0.000370133403789
1317146841.94 23502.4988638 0.000532353064045 0.000543855331372 0.00773954791895 0.0079074350677
1317068719.82 23521.6751515 0.000325153057929 0.000677257898308 0.00472007270438 0.00985664149935
1316990597.7 23540.8537141 -0.000435885449406 8.73061667263e-05 -0.00629276475432 0.00126519049931
1316912475.57 23560.0345522 -0.000685166625772 0.000968794363441 -0.00987385293207 0.0141296860029
1316834353.45 23579.2176661 -0.000384055543691 0.000626755808336 -0.00554658093835 0.00911828518669
1316756231.33 23598.4030562 0.000381251622457 0.000196690619897 0.00553668377017 0.00285258918662
1316678109.2 23617.590723 0.000660679885186 1.30801560372e-05 0.00961420566306 0.000189448146326
1316599987.08 23636.7806668 0.000598244427238 0.000156578618903 0.00870168054321 0.00227018697456
1316521864.96 23655.9728881 0.000845142058097 0.000418029422038 0.0123150861753 0.00607241000824
1316443742.83 23675.1673873 0.00113112386316 0.000835681545159 0.0165168841194 0.0121763884822
1316365620.71 23694.3641647 0.00138077174779 0.000804822860505 0.0201993333523 0.0117241123887
1316287498.58 23713.5632208 0.00103466387372 0.00043925153681 0.0150976681665 0.00638167397715
1316209376.46 23732.7645559 0.000266276852926 0.000536329417541 0.00386374489951 0.00779758360585
1316131254.34 23751.9681706 0.000379108532798 0.000117176944393 0.0055054751611 0.00169842832293
1316053132.21 23771.1740651 0.000898227037396 0.000367377042481 0.0130937058765 0.00533465332414
1315975010.09 23790.3822399 0.000739344744943 4.55325230088e-05 0.0107651183054 0.000659631281463
1315896887.97 23809.5926954 0.000287388567813 0.000339131489391 0.00417072093315 0.00492349043816
1315818765.84 23828.8054321 0.000146559468703 0.00020157233455 0.00212476784621 0.00292349191514
1315740643.72 23848.0204502 -5.24538772879e-05 0.000232411774543 -0.000759362226568 0.00337152462593
1315662521.6 23867.2377503 1.40007396112e-05 0.000206465268065 0.000202782890595 0.00299456263291
1315584399.47 23886.4573327 0.00030079393764 0.000255856302478 0.00436569136579 0.00371225905016
1315506277.35 23905.6791978 0.00051135540707 0.000479609317152 0.00743313869148 0.00697006068923
1315428155.22 23924.9033461 0.000708826002665 0.00054708601807 0.0103184540845 0.00795459525676
1315350033.1 23944.1297779 0.000805169402156 0.000208761251065 0.0117291902935 0.00302791393009
1315271910.98 23963.3584936 0.000862898945343 6.97524036696e-05 0.0125754664306 0.00101068291534
1315193788.85 23982.5894938 9.71898407442e-05 0.000203682861153 0.0014085199048 0.00295414706486
1315115666.73 24001.8227787 -0.000772632833105 0.000857368120766 -0.0111273294887 0.012494357248
1315037544.61 24021.0583487 -0.000697133247741 0.000751146739082 -0.010045439169 0.0109379026711
1314959422.48 24040.2962044 -0.000729534600396 0.00106229830349 -0.0105098858919 0.0155040477495
1314881300.36 24059.536346 -0.0010234345682 0.00171301561349 -0.0147128769241 0.0251212479059
1314803178.24 24078.778774 -0.000254384300206 0.000565788463018 -0.00367728969239 0.00822764929976
1314725056.11 24098.0234889 0.000652314629406 0.0008055725393 0.00949189498906 0.0117350975294
1314646933.99 24117.2704909 0.000550329394173 0.000648804235351 0.00800194291766 0.00944057302107
1314568811.86 24136.5197806 -0.000139236493851 0.000318248550984 -0.0020144285851 0.00461961180653
1314490689.74 24155.7713583 -0.000524281989783 0.000739322750252 -0.00756410722473 0.010764796325
1314412567.62 24175.0252244 -8.71812808327e-05 0.000146406014013 -0.00126178546723 0.00212254075114
1314334445.49 24194.2813794 -0.000101559824543 1.83533226318e-05 -0.00146973505174 0.000265832894817
1314256323.37 24213.5398236 -0.000586817506701 0.000300502276592 -0.00846253441349 0.00436144898346
1314178201.25 24232.8005575 -0.000569049210753 0.000221157919586 -0.00820734523283 0.00320800633551
1314100079.12 24252.0635814 -0.000278768449789 0.00013147557658 -0.00402906916616 0.00190587833147
1314021957.0 24271.3288959 -0.000109916283691 0.000355722156402 -0.00159057041587 0.00516497580891
1313943834.88 24290.5965012 -0.000523352471646 0.000957522428859 -0.00755074705372 0.0139641336901
1313865712.75 24309.8663978 -0.00109184032772 0.00164201299724 -0.0156886017447 0.0240673663565
1313787590.63 24329.1385861 -0.00102473224979 0.00155719064313 -0.0147313956328 0.022809814678
1313709468.51 24348.4130665 -8.74515098985e-05 0.000225380504597 -0.00126569405188 0.00326935727832
1313631346.38 24367.6898395 0.00113178312313 0.00123051519592 0.0165265907455 0.0179813389038
1313553224.26 24386.9689054 0.00109811441507 0.000769199266798 0.0160309893347 0.0112022543001
1313475102.13 24406.2502646 0.000532900099643 6.55008869433e-05 0.0077475318148 0.000949050989199
