6983.8	73.52
7038.3	73.17
7072.5	72.57
7074.5	72.04
7076.6	72.04
7078.6	72.04
7197.5	72.64
7199.5	72.64
7201.6	72.64
7203.6	72.16
7217.7	71.25
7243.9	70.56
7245.9	71.03
7247.9	71.06
7252.0	71.03
7348.7	68.23
7350.8	68.23
7352.8	68.23
7354.8	68.71
7356.8	68.74
7415.3	63.93
7417.3	63.64
7421.3	62.89
7437.5	60.94
7441.5	60.59
7443.5	60.47
7445.5	59.74
7493.9	55.75
7524.1	57.92
7524.1	57.92
7526.2	58.17
7528.2	57.95
7588.7	66.82
7588.7	66.82
7590.7	67.04
7592.7	66.94
7594.7	66.98
7612.9	68.77
7643.1	70.09
7645.1	70.15
7645.1	70.15
7647.1	70.40
7649.1	70.25
7651.2	70.31
7719.7	71.66
7721.7	71.69
7786.2	72.54
7788.3	72.67
7848.7	73.05
7848.7	73.05
7850.8	73.08
7852.8	72.79
7891.1	73.27
7893.1	73.27
7895.1	73.86
7917.3	73.33
7943.5	73.39
7947.5	73.42
7953.6	73.42
7965.7	73.45
7977.8	73.20
7979.8	73.20
7983.8	73.49
7995.9	73.08
8000.0	73.08
8006.0	73.08
8008.0	73.08
8018.1	73.49
8036.2	73.49
8038.3	73.52
8044.3	73.39
8046.3	73.39
8086.6	73.52
8086.6	73.52
8088.7	73.52
8090.7	73.11
8151.2	73.52
8173.3	73.52
