#freq[Hz] vel[km/s] flux[Jy/beam] noise[Jy/beam] tau tau_noise
1319296959.26 22975.61059956255 0.0 0.0 -0.0 -0.0
1319218840.5460618 22994.72359707621 0.0 0.0 -0.0 -0.0
1319140721.8321235 23013.83885831012 0.0 0.0 -0.0 -0.0
1319062603.1181853 23032.956383666475 0.0 0.0 -0.0 -0.0
1318984484.4042473 23052.07617354751 0.0 0.0 -0.0 -0.0
1318906365.690309 23071.19822835572 0.0 0.0 -0.0 -0.0
1318828246.9763708 23090.322548493525 0.0 0.0 -0.0 -0.0
1318750128.2624326 23109.449134363498 0.0 0.0 -0.0 -0.0
1318672009.5484943 23128.57798636831 0.0 0.0 -0.0 -0.0
1318593890.834556 23147.709104910722 0.00023313358542509377 0.00036708811366780136 0.0067580046772466925 0.010661797623264779
1318515772.120618 23166.842490393537 0.0006819688715040684 0.0009308179157397644 0.019898728667721913 0.027259481953209465
1318437653.4066799 23185.978143219832 0.0006342247361317277 0.0008963127561492502 0.01849266957646946 0.02623560605077419
1318359534.6927416 23205.116063792593 0.0002697750460356474 0.0003498915418773219 0.00782432149316829 0.010159790115384126
1318281415.9788034 23224.25625251497 0.00010544648102950305 9.589275911668563e-05 0.0030509945166511763 0.002774182776740903
1318203297.2648652 23243.3987097902 2.669936657184735e-05 0.0003940138972404379 0.0007716413579143863 0.01144832977824007
1318125178.550927 23262.543436021624 1.8307327991351485e-06 0.00039669865691475416 5.2891202017945536e-05 0.011526788529009934
1318047059.8369887 23281.690431612675 -6.114137795520946e-05 0.00037004518961187996 -0.001764813962024155 0.010748146874907213
1317968941.1230507 23300.839696966825 0.00013613820192404091 0.0003046272143644049 0.003940782344531464 0.008839623637669158
1317890822.4091125 23319.99123248781 0.0005108849727548659 0.0003686180210771964 0.014869452490848107 0.010706471351515041
1317812703.6951742 23339.1450385793 0.0007440936751663685 0.0005079888061800015 0.021731261631418877 0.014784532525674781
1317734584.981236 23358.3011156451 8.947070455178618e-05 3.3664241253758936e-05 0.002588151744330979 0.0009730319350109414
1317656466.2672977 23377.459464089134 -0.0012364184949547052 0.0010926550735694772 -0.03509691900094716 0.03207573493829692
1317578347.5533595 23396.620084315397 -0.0015900725265964866 0.0022030176517372703 -0.0449132652435998 0.06576070665284603
1317500228.8394213 23415.782976728 -0.0012676735641434789 0.0022824622017991163 -0.03596835563287026 0.06821486972526826
1317422110.1254833 23434.94814173108 -0.0009418342378921807 0.0014938996991555255 -0.026845957384013158 0.044117739756668384
1317343991.411545 23454.11557972906 -0.0002145826001651585 0.0002691227563280937 -0.006180146924822704 0.007805329023090142
1317265872.6976068 23473.285291126256 0.0007725237519480288 0.0006428535790155371 0.022571002178505883 0.018746641649191882
1317187753.9836686 23492.45727632716 0.0008597018895670772 0.0007300511385399641 0.0251503922583432 0.021316746577025116
1317109635.2697303 23511.63153573636 0.0005335969035513699 0.0005639915898724143 0.015535650640266987 0.016427898340686864
1317031516.555792 23530.808069758532 0.00046803330769762397 0.0006882431909983091 0.013613712563183361 0.020083653691204982
1316953397.841854 23549.986878798394 -0.00016289686027448624 0.00015256036818168004 -0.004695045313559931 0.004417204932485437
1316875279.1279159 23569.167963260927 -0.0007658565300516784 0.0010543192771283185 -0.021884348240616126 0.030932768234911652
1316797160.4139776 23588.351323551047 -0.0005164109752513468 0.0007519357701879724 -0.014808899071646597 0.02196282354982168
1316719041.7000394 23607.536960073812 0.0005032158805988729 0.00034783680753255707 0.014644598893563118 0.01009982454222581
1316640922.9861012 23626.724873234383 0.000813007412943989 0.0008333951413400228 0.02376798833314328 0.02437133809292567
1316562804.272163 23645.915063438017 -4.765896301250905e-05 0.00013336744327175476 -0.0013759186799716422 0.003860422387182998
1316484685.5582247 23665.107531090067 -0.0005669857491739094 0.0006028557083555583 -0.016247489257227136 0.017569930469554306
1316406566.8442867 23684.30227659591 -0.00033790053566917777 0.000567049160919056 -0.009714594218460068 0.01651769860027024
1316328448.1303484 23703.499300361225 -0.00010802048200275749 0.0002974071439364988 -0.0031158484547804005 0.008629206198504961
1316250329.4164102 23722.69860279158 -7.919047493487597e-05 3.6260469014513996e-05 -0.002285196858875223 0.0010481126958248297
1316172210.702472 23741.90018429272 0.00010279536218149588 0.0003240848396636277 0.002974172706686256 0.009406905636995285
1316094091.9885337 23761.104045270473 9.783262066775933e-05 0.00047764265086413604 0.0028303825729291262 0.013895170933891957
1316015973.2745955 23780.31018613077 0.0001833481073845178 0.0006873430931711436 0.00531099850387895 0.020057122719180583
1315937854.5606575 23799.518607279577 0.0005829689325764775 0.0006116860736450171 0.016985389503637958 0.01782959496237881
1315859735.8467193 23818.729309123137 0.0002803079260047525 9.787912313512524e-05 0.008131053282780182 0.0028317298362870178
1315781617.132781 23837.9422920676 -0.0006327030714601278 0.0009628032329088591 -0.018113720020312446 0.028209523452241977
1315703498.4188428 23857.15755651929 -0.000813088146969676 0.0004980227469878103 -0.02321844037791978 0.014492367754331844
1315625379.7049046 23876.375102884616 -0.00047084788093343377 0.00032850662417640875 -0.013511090727889696 0.009535866501011294
1315547260.9909663 23895.594931570085 -0.00046067050425335765 0.0007936659623947975 -0.013220970477660646 0.023195938171865958
1315469142.277028 23914.81704298231 -0.0004543218237813562 0.0004947631069994324 -0.013039949889275733 0.014396826742760898
1315391023.56309 23934.04143752792 -8.647257345728576e-05 6.375290214087984e-05 -0.0024950741820347574 0.0018435172346291085
1315312904.8491518 23953.26811561384 2.4458830012008548e-05 4.798910831545454e-06 0.0007068644702255996 0.00013864996906643833
1315234786.1352136 23972.49707764689 -0.0006754741771146655 0.00041992773957421123 -0.019326459199914582 0.012205886644835615
1315156667.4212754 23991.728324034084 -0.0008339532068930566 0.00028444023366860596 -0.023807223194073815 0.008251417403133012
1315078548.7073371 24010.9618551825 0.00047677307156845927 0.0004859265281871015 0.013869697631862039 0.014137869910294185
1315000429.993399 24030.197671499318 0.001006802194751799 0.0011039358969416172 0.029517875846351006 0.03241231717290681
1314922311.279461 24049.43577339176 6.113796553108841e-05 0.00013232293497464362 0.0017678352782605797 0.00383013032316478
1314844192.5655227 24068.676161267333 -0.000217969311052002 0.0002041680337303046 -0.006277381337501279 0.005915871303808539
1314766073.8515844 24087.91883553344 -8.388375863432884e-05 0.00020763382028480344 -0.0024204670097702752 0.006016596913402904
1314687955.1376462 24107.16379659766 0.00010700008715502918 7.921219019610828e-05 0.0030960163028052276 0.0022910597386159256
