vel[km/s] tau
-2522.1163776 0.0
-2499.9298359 0.0
-2477.740463 0.0
-2455.54825836 0.045102020607
-2433.35322144 0.0386235606253
-2411.1553517 0.0299882515267
-2388.9546486 -0.0276230477785
-2366.75111159 0.00332312345912
-2344.54474014 0.0323756894477
-2322.33553369 0.0194036261743
-2300.12349171 -0.0158288691073
-2277.90861365 -0.0265961116658
-2255.69089897 0.0342610575252
-2233.47034712 0.0680422749954
-2211.24695757 0.0542994044449
-2189.02072977 0.0228620663206
-2166.79166317 -0.0106110754727
-2144.55975723 -0.0268856431343
-2122.32501141 -0.0471344241463
-2100.08742516 -0.0297760200314
-2077.84699795 -0.00959928734512
-2055.60372921 0.0208235872572
-2033.35761842 0.0366866922042
-2011.10866502 0.0458358713026
-1988.85686847 0.014928046029
-1966.60222822 -0.0412160503423
-1944.34474374 -0.0909192465204
-1922.08441447 -0.0945844854436
-1899.82123987 -0.0667904366302
-1877.55521939 -0.0490471283293
-1855.28635249 -0.0473882965568
-1833.01463862 -0.039105690986
-1810.74007724 -0.0241933428904
-1788.46266779 -0.0149245796901
-1766.18240975 0.0043347256266
-1743.89930254 0.0245740327849
-1721.61334564 0.0101837567104
-1699.3245385 0.00705165615461
-1677.03288055 -0.0244272886295
-1654.73837127 -0.0365761589572
-1632.44101011 -0.0966576466694
-1610.14079651 -0.0907391828339
-1587.83772992 -0.0515869118482
-1565.53180981 -0.00304987471092
-1543.22303562 0.00179542814706
-1520.91140681 0.0257657408208
-1498.59692282 0.0244254786634
-1476.27958311 0.035155750907
-1453.95938714 0.0192179014657
-1431.63633434 -0.000409753502282
-1409.31042418 0.0058314134014
-1386.98165611 -0.0107315278501
-1364.65002957 -0.00536885282436
-1342.31554402 -0.023324187319
-1319.97819891 0.00455580127061
-1297.63799369 -0.035321917623
-1275.29492781 -0.0252155921378
-1252.94900072 -0.0588670678888
-1230.60021187 -0.0234827388855
-1208.24856071 -0.0121217815691
-1185.89404669 0.0121088932377
-1163.53666927 0.0252971514031
-1141.17642788 0.0646747271018
-1118.81332199 0.0572586913391
-1096.44735104 0.0911647538971
-1074.07851447 0.0200068772482
-1051.70681175 0.00184985216843
-1029.33224231 -0.05358954381
-1006.95480561 -0.0253334782108
-984.574501094 -0.0073494726163
-962.191328214 -0.00854004898348
-939.805286417 -0.0458427910951
-917.416375151 -0.0337650921783
-895.024593864 -0.0122459728395
-872.629942005 0.050814732913
-850.232419022 0.0491413155289
-827.832024362 0.0650999656231
-805.428757473 0.0648585090112
-783.022617803 0.0336458319303
-760.613604799 0.017696850213
-738.201717908 0.0123593755068
-715.786956578 0.00838815163613
-693.369320255 -0.0247700431969
-670.948808386 -0.0717258769645
-648.525420419 -0.070134288134
-626.099155798 -0.0306346850696
-603.670013972 -0.0229429073318
-581.237994386 0.0118178310297
-558.803096485 -0.000541701251757
-536.365319718 0.0137388437836
-513.924663528 -0.0186481300124
-491.481127362 -0.00375786259823
-469.034710665 0.0216687526192
-446.585412883 0.0400320725081
-424.133233461 0.0452769357981
-401.678171844 0.0246155228555
-379.220227477 0.0226861491723
-356.759399805 0.0177404931184
-334.295688273 0.0309783221012
-311.829092324 0.0551740213852
-289.359611405 0.0988310081048
-266.887244958 0.109535786178
-244.411992428 0.0759653828507
-221.93385326 0.0320714974677
-199.452826896 -0.0353705037543
-176.96891278 -0.0475515827156
-154.482110357 -0.0748964435104
-131.992419069 -0.0602653484368
-109.499838359 -0.0510428712856
-87.0043676721 -0.0573840409154
-64.5060064495 -0.0403692929473
-42.0047541347 -0.0344614841485
-19.5006101702 -0.0394808117791
3.00642600128 -0.102405906439
25.5163549375 -0.0811616401618
48.0291771961 -0.0926476953803
70.544893335 -0.0671260537331
93.0635039121 -0.0767063702509
115.585009486 -0.0423377189557
138.109410614 -0.0180696003105
160.636707856 -0.00604107433587
183.166901769 -0.0148118767857
205.699992913 -0.00370144381811
228.235981846 0.0175912014614
250.774869128 0.0355367811657
273.316655318 -0.000726311782562
295.861340974 -0.0281065168137
318.408926657 -0.0541218522997
340.959412926 -0.0143516934264
363.51280034 -0.00440839763998
386.06908946 0.0146734421905
408.628280846 0.00954322126015
431.190375058 -0.035045740456
453.755372656 -0.0384379445189
476.3232742 -0.0515545284416
498.894080252 0.0303413885625
521.467791372 0.0348993208319
544.04440812 0.0760181302426
566.623931059 0.0286989075324
589.206360749 0.00588708342855
611.791697751 -0.00937509341671
634.379942627 -0.00739854102551
656.971095939 0.0288286307383
679.565158248 0.0192719920828
702.162130116 0.0118685122746
724.762012105 0.0163319957066
747.364804779 0.0142959370339
769.970508697 0.0192931419318
792.579124425 -0.00476676965724
815.190652523 -0.00572859453421
837.805093555 0.000522191187832
860.422448083 0.00742465742237
883.042716672 -0.000914220439967
905.665899883 0.00534396630212
928.29199828 0.0137428655667
950.921012428 -0.00139092040754
973.552942889 -0.0388489824728
996.187790227 -0.0540052265835
1018.82555501 -0.0374215669839
1041.46623779 -0.00438818528003
1064.10983915 0.0119567074831
1086.75635963 0.0454661856132
1109.40579982 0.0371072783928
1132.05816027 0.0241790153305
1154.71344155 0.0201194124829
1177.37164422 0.0423243009019
1200.03276885 0.0595353332833
1222.696816 0.0564939976121
1245.36378624 0.0141009286918
1268.03368013 -0.0085046302544
1290.70649825 -0.0448864736031
1313.38224115 -0.0292525634037
1336.0609094 -0.0588398613909
1358.74250357 -0.0575181313023
1381.42702422 -0.06075307898
1404.11447192 -0.0196545220546
1426.80484725 0.0232249958842
1449.49815075 0.0230043648452
1472.19438301 -0.00432553292124
1494.89354458 0.0243723125751
1517.59563604 0.0194538270042
1540.30065795 0.00860646968223
1563.00861088 -0.0466929975702
1585.71949539 -0.032145507218
1608.43331206 0.0
1631.15006146 0.0
1653.86974414 0.0
1676.59236069 0.0
1699.31791166 0.0
1722.04639763 0.0
1744.77781916 0.0
1767.51217682 0.0
1790.24947119 0.0
1812.98970283 0.0
1835.7328723 0.0
1858.47898019 0.0
