Filename	Success	Nchan	dof	chi^2	chi^2/dof	rms	A	dA	B_1	dB_1	B_2	dB_2	C	dC	XE_0	dXE_0	XP_0	dXP_0	W	dW	N	dN	X	dX	W_50	dW_50	W_20	dW_20	F_peak	dF_peak	F_int	dF_int
J111916.54+623925.7_spec.txt	2	220	215	3.71193	0.0172648	0.01	1.39968e+08	1.19754e+12	0.417103	0.941666	0.0590312	10.717	0	0	84.8549	14750.8	0.1	0	-37.7305	14795	0	0	1.27982e+09	893042	385832	1.83657e+06	613380	3.20464e+06	0.010529	0.0328834	4498.23	13381.8
J112030.04+273610.7_spec.txt	0	185	180	2.08083	0.0115602	0.01	0.0776145	4.09572	0.459541	5.51632	0.561299	4.14154	0	0	88.612	12.366	0.1	0	0.419816	56.3939	0	0	1.27713e+09	54909	243490	90925	374836	123549	0.0297518	0.00828261	7778.74	2340.92
J112332.04+235047.8_spec.txt	0	220	212	3.08012	0.0145289	0.01	0.00154039	0.0154858	0.875818	4.19359	0.680919	3.60169	6.21418e-05	0.00416543	32.4475	9.51923	32.9752	5.58536	1.55031	18.6241	10.9962	67.0034	1.18436e+09	675970	131219	482485	715758	1.86287e+06	0.00378397	0.0112747	1004.19	2603.68
J120231.12+163741.8_spec.txt	1	185	180	1.23856	0.00688092	0.01	0.032969	6.35307	0.353644	2.42032	0.0601623	2.11171	0	0	73.5377	875.186	0.1	0	-6.3128	906.59	0	0	1.26927e+09	1.58037e+06	667063	1.90677e+06	1.1493e+06	2.52681e+06	0.00295939	0.00544719	2283.67	4413.89
J120551.46+203119.0_spec.txt	0	220	215	0.414132	0.00192619	0.01	0.000886188	0.0191326	8.14959	9.40956e+17	0.921173	47.8259	0	0	115.136	3.0377e+15	0.1	0	1.08303	3.0377e+15	0	0	1.34305e+09	1.77044e+20	168859	1.8181e+20	228825	2.20125e+19	0.000878263	6.19089e+10	149.882	3.25471e+17
J120855.60+464113.8_spec.txt	0	220	215	0.578566	0.00269101	0.01	0.00279485	0.0980969	0.503428	15.6767	1.06471	23.1259	0	0	130.264	23.3699	0.1	0	1.1799	46.49	0	0	1.38895e+09	650984	228097	1.6242e+06	348313	1.4978e+06	0.0021736	0.0105753	524.768	2097.44
J122513.09+321401.6_spec.txt	0	220	212	0.665034	0.00313695	0.01	0.00216321	0.0136645	0.621117	4.01366	1.35816	29.947	0.0704826	20.7892	139.846	58.7701	140.678	104.176	2.19545	21.2421	3.92252	184.715	1.3402e+09	238799	222169	369786	531686	840536	0.00776946	0.0090264	2260.09	2444.51
J123200.55+331747.6_spec.txt	0	220	212	0.184052	0.000868168	0.01	0.000865954	0.018002	0.878782	12.0777	0.473975	4.80619	0.733693	31.9594	91.1049	14.6536	91.4097	11.6701	2.87026	41.7114	1.74958	45.2738	1.28185e+09	549126	583453	1.06541e+06	724805	1.10574e+06	0.00323876	0.00958517	1320.34	2705.98
J123905.13+174457.5_spec.txt	0	220	212	1.12862	0.00532366	0.01	0.00209673	0.644435	1.13666	40.4627	0.71256	77.9863	0.0435447	69.3555	130.453	58.0739	133.028	4737.49	2.15134	74.5026	1.1396	842.734	1.33297e+09	935533	328821	2.26231e+06	439389	1.39504e+07	0.00241993	0.012671	796.833	4115.14
J124707.32+490017.9_spec.txt	1	220	212	0.314296	0.00148253	0.01	0.029454	19.1455	0.244481	4.36922	0.0870103	4.77716	0.215848	13.1787	69.0763	1415.31	75.6248	29.6855	-6.94615	1606.67	1.80459	48.7238	1.31375e+09	1.99343e+06	1.14189e+06	4.86555e+06	1.59033e+06	4.3045e+06	0.00157034	0.00565602	1574.25	4373.62
J125433.26+185602.2_spec.txt	1	220	212	2.35668	0.0111164	0.01	0.00102493	0.177225	1.60528	44.7989	0.0162961	1.03537	20.6264	655.668	32.6312	3878.36	32.1131	11.4783	-0.850626	3897.46	2.10271	57.8318	1.33121e+09	9.59485e+07	5.23501e+06	1.44182e+08	7.7682e+06	2.19277e+08	9.77813	2072.09	5.33746e+07	1.06773e+10
J130125.26+291849.5_spec.txt	0	220	212	0.46573	0.00219684	0.01	0.000244013	0.014292	0.616037	8.10028	1.38579	51.4262	1.24474	121.674	134.618	9.09373	137.667	15.4346	7.52677	9.02621	0.823325	16.5724	1.38754e+09	996099	1.16218e+06	2.00876e+06	1.29087e+06	1.94246e+06	0.00194312	0.00581477	1457.36	3407.59
J130132.61+463402.7_spec.txt	0	220	212	0.337164	0.0015904	0.01	0.00115723	1.81636	0.725933	419.038	4.15768	2.36322e+09	0.000435707	31796.7	72.2872	1.26101e+07	71.5113	136611	1.66841	1.26103e+07	8.69796	1.05306e+08	1.39229e+09	1.63239e+12	240706	3.50899e+13	329940	2.49485e+13	0.00150276	336958	346.45	7.75372e+09
