# ASCII dump of profile. Original file: /gereb/Absorption/Stacking/58/mHan
# Position of profile (2 dimensions):
# Ra 13h 52m 17.881s                        linear co-oridinate: 128
# Dec 31d 26m 46.50s                        linear co-oridinate: 128
# 1 individual profile was used to produce this profile
# X axis name: "FREQ-HEL"  Y axis name: "JY/BEAM"
# 185 values follow
1.3663208214677e+09    -5.1767693366855e-04
1.3662426964706e+09    -4.0706043364480e-04
1.3661645714734e+09    4.6829535858706e-04
1.3660864464763e+09    1.2593156425282e-03
1.3660083214791e+09    8.5204001516104e-04
1.3659301964820e+09    -2.7191417757422e-04
1.3658520714848e+09    -3.6813106271438e-04
1.3657739464877e+09    3.8219903944992e-04
1.3656958214906e+09    2.5840959278867e-04
1.3656176964934e+09    -2.8764392482117e-04
1.3655395714963e+09    3.2514095073566e-04
1.3654614464991e+09    8.4762152982876e-04
1.3653833215020e+09    5.2112271077931e-04
1.3653051965048e+09    9.6152257174253e-04
1.3652270715077e+09    1.2690788134933e-03
1.3651489465105e+09    7.0870644412935e-04
1.3650708215134e+09    2.2597794304602e-04
1.3649926965162e+09    2.5722308782861e-04
1.3649145715191e+09    1.2914939725306e-04
1.3648364465219e+09    -2.2181042004377e-04
1.3647583215248e+09    3.8601396227023e-05
1.3646801965276e+09    2.9555015498772e-04
1.3646020715305e+09    -2.0713513367809e-04
1.3645239465333e+09    -7.2568311588839e-04
1.3644458215362e+09    -1.3980039511807e-04
1.3643676965390e+09    5.2700948435813e-04
1.3642895715419e+09    3.7579244235530e-04
1.3642114465447e+09    2.9045325936750e-04
1.3641333215476e+09    6.5676611848176e-04
1.3640551965504e+09    6.9831928703934e-04
1.3639770715533e+09    1.6879265604075e-04
1.3638989465561e+09    -3.2159787951969e-04
1.3638208215590e+09    -8.5996172856539e-04
1.3637426965618e+09    -9.6858944743872e-04
1.3636645715647e+09    -7.3340808739886e-05
1.3635864465675e+09    5.8904383331537e-04
1.3635083215704e+09    5.4739939514548e-04
1.3634301965732e+09    6.1102054314688e-04
1.3633520715761e+09    1.0784592013806e-03
1.3632739465789e+09    1.6044888179749e-03
1.3631958215818e+09    1.1280288454145e-03
1.3631176965846e+09    3.9758053026162e-04
1.3630395715875e+09    2.5466375518590e-04
1.3629614465903e+09    -4.2596700950526e-04
1.3628833215932e+09    -1.1359831551090e-03
1.3628051965960e+09    -1.0603133123368e-03
1.3627270715989e+09    -8.4951327880844e-04
1.3626489466017e+09    -1.0591269237921e-03
1.3625708216046e+09    -1.6895965673029e-03
1.3624926966074e+09    -2.3950943723321e-03
1.3624145716103e+09    -2.9965280555189e-03
1.3623364466131e+09    -2.9909473378211e-03
1.3622583216160e+09    -2.5039922911674e-03
1.3621801966188e+09    -2.2989651188254e-03
1.3621020716217e+09    -2.4642522912472e-03
1.3620239466245e+09    -2.7863418217748e-03
1.3619458216274e+09    -2.4774610064924e-03
1.3618676966302e+09    -2.7737233322114e-03
1.3617895716331e+09    -4.2598489671946e-03
1.3617114466360e+09    -4.7137406654656e-03
1.3616333216388e+09    -3.9330455474555e-03
1.3615551966417e+09    -3.3249482512474e-03
1.3614770716445e+09    -4.3640984222293e-03
1.3613989466474e+09    -5.2699632942677e-03
1.3613208216502e+09    -4.5227110385895e-03
1.3612426966531e+09    -4.4471751898527e-03
1.3611645716559e+09    -4.8557687550783e-03
1.3610864466588e+09    -4.8100175336003e-03
1.3610083216616e+09    -4.9650357104838e-03
1.3609301966645e+09    -5.3547113202512e-03
1.3608520716673e+09    -5.8379005640745e-03
1.3607739466702e+09    -5.6857261806726e-03
1.3606958216730e+09    -4.6976823359728e-03
1.3606176966759e+09    -4.8431605100632e-03
1.3605395716787e+09    -6.4121074974537e-03
1.3604614466816e+09    -7.5423303060234e-03
1.3603833216844e+09    -8.5437903180718e-03
1.3603051966873e+09    -1.2207821942866e-02
1.3602270716901e+09    -2.1568052470684e-02
1.3601489466930e+09    -3.4354388713837e-02
1.3600708216958e+09    -5.0590187311172e-02
1.3599926966987e+09    -7.2543323040009e-02
1.3599145717015e+09    -9.0551204979420e-02
1.3598364467044e+09    -9.5750868320465e-02
1.3597583217072e+09    -9.4245836138725e-02
1.3596801967101e+09    -9.6766233444214e-02
