# J2000                 RA         Dec         z            S_cont[mJy]          Radio_Power[log(W/Hz)]   Detection   Compact_0_Extended_1   WISE_type_[0_12_1_dp_2_46]   RMS_[mJy]             3*RMS_[tau]             tau_[-]                 tau_dv[kms]      w50_[km/s]           dw50_[km/s]          w20_[km/s]           dw20_[km/s]          cen_[km/s]            dcen_[km/s]           peak_pos_[km/s]       Rmag_[SDSS]   e_Rmag_[SDSS]   Zmag_[SDSS]   e_Zmag_[SDSS]   Kmag_[2MASS]   e_Kmag_[2MASS]   W1mag_[WISE]   e_W1mag_[WISE]   W2mag_[WISE]   e_W2mag_[WISE]   W3mag_[WISE]   e_W3mag_[WISE]   W4mag_[WISE]   e_W4mag_[WISE]   FIRST_peak[mJy]      FIRST_integr[mJy]   
  J081601.88+380415.4   08:16:02   +38:04:15   0.1727472    67.8571015596        24.750584335124536       0.0         1.0                    1.0                          0.9950000047683716    0.0443152009359         ""                      ""               ""                   ""                   ""                   ""                   ""                    ""                    ""                    16.464924     0.004849237     15.664333     0.009175249     14.39          0.086            13.423         0.026            13.14          0.032            11.866         0.245            9.143          ""               33.630001068115234   157.259             
  J081827.34+281402.8   08:18:27   +28:14:03   0.225235     46.630001068115234   24.844811815690594       0.0         0.0                    0.0                          0.713634875934504     0.046999998390674626    ""                      ""               ""                   ""                   ""                   ""                   ""                    ""                    ""                    17.444365     0.0053530117    16.887484     0.011701914     13.588         ""               13.882         0.029            13.158         0.034            11.04          0.122            8.673          0.363            80.9000015258789     84.12000274658203   
  J081854.09+224744.8   08:18:54   +22:47:45   0.095831     194.0                24.652230360600818       0.0         1.0                    2.0                          0.7074353020472266    0.010999999940395402    ""                      ""               ""                   ""                   ""                   ""                   ""                    ""                    ""                    15.991039     0.003377472     15.179926     0.006255919     13.556         0.069            12.764         0.025            12.577         0.027            10.803         0.101            8.763          0.381            112.48999786376953   187.0               
  J082028.10+485347.4   08:20:28   +48:53:48   0.132447     124.0                24.759824384607164       0.0         1.0                    1.0                          1.0608163177755565    0.026000000536441813    ""                      ""               ""                   ""                   ""                   ""                   ""                    ""                    ""                    15.751419     0.003809048     14.864601     0.007373534     13.866         0.079            12.929         0.029            12.781         0.029            12.145         0.279            8.537          ""               68.5199966430664     184.25999450683594  
  J082133.60+470237.3   08:21:33   +47:02:37   0.128009     1239.98785019        25.72773099552059        1.0         1.0                    0.0                          0.6990000009536743    0.00169162244395        0.00384176              0.562468086094   41.4656296782        3.327925559          47.2362171948        4.34831519406        -254.334068398        12.0                  -254.334068398        16.893717     0.005127051     16.086456     0.011247613     14.224         0.074            13.298         0.026            12.663         0.027            10.585         0.073            8.919          0.422            353.5299987792969    962.86              
  J082209.54+470552.9   08:22:10   +47:05:53   0.1270814    54.9487359822        24.367440994744648       0.0         0.0                    1.0                          0.9789999723434448    0.0539316985471         ""                      ""               ""                   ""                   ""                   ""                   ""                    ""                    ""                    15.685629     0.0044827126    14.84811      0.010210605     14.001         0.067            13.185         0.025            13.072         0.032            11.669         0.202            8.423          ""               49.939998626708984   52.63348            
  J082440.14+410305.6   08:24:40   +41:03:06   0.05798609   75.9258717299        23.78568853620448        0.0         1.0                    1.0                          0.871999979019165     0.0346540407145         ""                      ""               ""                   ""                   ""                   ""                   ""                    ""                    ""                    14.869308     0.0024618697    14.066888     0.0040322333    13.145         0.058            12.205         0.023            12.249         0.027            11.465         0.168            8.527          ""               36.4900016784668     82.00181            
  J082814.20+415351.9   08:28:14   +41:53:52   0.2259919    84.4737142324        25.106146638086383       0.0         1.0                    1.0                          0.8550000190734863    0.0305191869096         ""                      ""               ""                   ""                   ""                   ""                   ""                    ""                    ""                    17.48379      0.006612917     16.683064     0.013763661     14.132         ""               13.678         0.031            13.276         0.035            12.53          0.478            8.792          ""               37.7400016784668     78.69127            
  J082904.82+175415.8   08:29:05   +17:54:16   0.089467     190.0                24.579661813751855       0.0         1.0                    2.0                          0.755458191938447     0.01200000010430813     ""                      ""               ""                   ""                   ""                   ""                   ""                    ""                    ""                    15.621533     0.0031951922    14.865566     0.0058286986    13.604         0.059            12.619         0.024            12.274         0.024            10.13          0.061            7.985          0.227            188.4499969482422    231.8000030517578   
  J083138.83+223422.9   08:31:39   +22:34:23   0.086882     92.55999755859375    24.24035027083412        0.0         1.0                    1.0                          0.6713612599138874    0.02199999988079076     ""                      ""               ""                   ""                   ""                   ""                   ""                    ""                    ""                    15.482734     0.0029181372    14.636959     0.0050327093    13.25          0.066            12.445         0.023            12.362         0.026            11.246         0.163            8.263          0.256            72.58000183105469    92.8499984741211    
  J083139.79+460800.8   08:31:40   +46:08:01   0.131065     123.0                24.74641773739224        0.0         0.0                    1.0                          0.8921503581191618    0.02199999988079076     ""                      ""               ""                   ""                   ""                   ""                   ""                    ""                    ""                    16.045607     0.0035302788    15.191941     0.0071623893    13.703         0.058            12.973         0.025            12.838         0.029            12.375         0.345            8.644          ""               124.4800033569336    130.74000549316406  
  J083411.09+580321.4   08:34:11   +58:03:22   0.093357     46.310001373291016   24.005878505266907       0.0         0.0                    1.0                          0.8552829083428151    0.05700000002980226     ""                      ""               ""                   ""                   ""                   ""                   ""                    ""                    ""                    15.4120035    0.004566063     14.486526     0.010228427     14.464         0.12             13.112         0.025            13.016         0.029            12.633         0.443            9.185          ""               50.869998931884766   53.040000915527344  
  J083548.14+151717.0   08:35:48   +15:17:17   0.1683821    45.4844906926        24.552308330019436       1.0         1.0                    0.0                          1.5                   0.100602949286          0.113273                8.04945866453    67.5581037038        11.57824206          86.0485182587        14.9978283372        -289.36               31.7405423639         -289.359611405        16.709934     0.0046633068    15.969088     0.01080412      14.014         0.072            13.069         0.025            12.366         0.032            9.799          0.078            7.703          0.223            46.310001373291016   48.6627             
