-694.600000 -0.000990
-669.700000 -0.001845
-638.700000 -0.001147
-610.700000 -0.000166
-576.600000 0.000673
-545.500000 0.002931
-512.400000 0.002354
-451.300000 -0.000636
-425.400000 -0.000501
-391.300000 -0.000652
-359.200000 0.001319
-328.100000 0.003579
-295.000000 0.002576
-265.000000 0.003277
-233.900000 0.010098
-201.800000 0.022450
-172.800000 0.037603
-140.700000 0.049260
-108.600000 0.048360
-76.600000 0.039484
-43.470000 0.032002
-13.450000 0.028204
16.560000 0.024996
46.580000 0.015752
79.710000 0.005594
105.500000 0.002179
139.700000 0.003446
166.600000 0.003438
200.800000 0.003854
233.900000 0.005124
265.000000 0.002984
296.000000 0.000709
326.000000 -0.000148
355.000000 0.000268
389.200000 -0.000166
421.300000 -0.000458
479.200000 -0.001746
513.400000 -0.001896
542.400000 0.000639
606.600000 -0.000935
636.600000 0.005009
667.700000 0.013133
