0500+019  0.58471  896.38     0.00   55   -44.382   -0.022   -81.252  -0.487     100.2     2.4   two
0500+019  0.58471  896.38     0.00   56   -38.482   -0.0192   -75.352  -0.427     100.2     2.4   two
0500+019  0.58471  896.38     0.00   57   -37.302   -0.0228   -74.172  -0.507     100.2     2.4   two
0500+019  0.58471  896.38     0.00   58   -31.992   -0.0251   -68.862  -0.557     100.2     2.4   two
0500+019  0.58471  896.38     0.00   59   -31.992   -0.026   -68.862  -0.577     100.2     2.4   two
0500+019  0.58471  896.38     0.00   60   -31.406   -0.0251   -68.276  -0.557     100.2     2.4   two
0500+019  0.58471  896.38     0.00   61   -27.276   -0.0174   -64.146  -0.387     100.2     2.4   two
0500+019  0.58471  896.38     0.00   62   -18.428   -0.017   -55.298  -0.377     100.2     2.4   two
0500+019  0.58471  896.38     0.00   63   -16.068   -0.0179   -52.938  -0.397     100.2     2.4   two
0500+019  0.58471  896.38     0.00   64   -11.352   -0.0202   -48.222  -0.447     100.2     2.4   two
0500+019  0.58471  896.38     0.00   65   -11.352   -0.0202   -48.222  -0.447     100.2     2.4   two
0500+019  0.58471  896.38     0.00   66   -10.762   -0.0247   -47.632  -0.547     100.2     2.4   two
0500+019  0.58471  896.38     0.00   67   -4.862   -0.0237   -41.732  -0.527     100.2     2.4   two
0500+019  0.58471  896.38     0.00   68   -3.092   -0.022   -39.962  -0.487     100.2     2.4   two
0500+019  0.58471  896.38     0.00   69   1.038   -0.0269   -35.832  -0.597     100.2     2.4   two
0500+019  0.58471  896.38     0.00   70   1.628   -0.0269   -35.242  -0.597     100.2     2.4   two
0500+019  0.58471  896.38     0.00   71   1.628   -0.0269   -35.242  -0.597     100.2     2.4   two
0500+019  0.58471  896.38     0.00   72   2.218   -0.0269   -34.652  -0.597     100.2     2.4   two
0500+019  0.58471  896.38     0.00   73   3.398   -0.0287   -33.472  -0.637     100.2     2.4   two
0500+019  0.58471  896.38     0.00   74   7.528   -0.0328   -29.342  -0.727     100.2     2.4   two
0500+019  0.58471  896.38     0.00   75   8.708   -0.0296   -28.162  -0.657     100.2     2.4   two
0500+019  0.58471  896.38     0.00   76   12.248   -0.0269   -24.622  -0.597     100.2     2.4   two
0500+019  0.58471  896.38     0.00   77   12.248   -0.0337   -24.622  -0.747     100.2     2.4   two
0500+019  0.58471  896.38     0.00   78   12.838   -0.0337   -24.032  -0.747     100.2     2.4   two
0500+019  0.58471  896.38     0.00   79   13.428   -0.0337   -23.442  -0.747     100.2     2.4   two
0500+019  0.58471  896.38     0.00   80   15.198   -0.045   -21.672  -0.997     100.2     2.4   two
0500+019  0.58471  896.38     0.00   81   15.198   -0.045   -21.672  -0.997     100.2     2.4   two
0500+019  0.58471  896.38     0.00   82   20.508   -0.0364   -16.362  -0.807     100.2     2.4   two
0500+019  0.58471  896.38     0.00   83   21.688   -0.0359   -15.182  -0.797     100.2     2.4   two
0500+019  0.58471  896.38     0.00   84   22.278   -0.0359   -14.592  -0.797     100.2     2.4   two
0500+019  0.58471  896.38     0.00   85   27.588   -0.0283   -9.282  -0.627     100.2     2.4   two
0500+019  0.58471  896.38     0.00   86   28.178   -0.0332   -8.692  -0.737     100.2     2.4   two
0500+019  0.58471  896.38     0.00   87   28.178   -0.0283   -8.692  -0.627     100.2     2.4   two
0500+019  0.58471  896.38     0.00   88   28.178   -0.0332   -8.692  -0.737     100.2     2.4   two
0500+019  0.58471  896.38     0.00   89   28.768   -0.0395   -8.102  -0.877     100.2     2.4   two
0500+019  0.58471  896.38     0.00   90   28.768   -0.0395   -8.102  -0.877     100.2     2.4   two
0500+019  0.58471  896.38     0.00   91   30.538   -0.0391   -6.332  -0.867     100.2     2.4   two
0500+019  0.58471  896.38     0.00   92   31.128   -0.0395   -5.742  -0.877     100.2     2.4   two
0500+019  0.58471  896.38     0.00   93   34.668   -0.0287   -2.202  -0.637     100.2     2.4   two
0500+019  0.58471  896.38     0.00   94   34.668   -0.0287   -2.202  -0.637     100.2     2.4   two
0500+019  0.58471  896.38     0.00   95   41.748   -0.0247   4.878  -0.547     100.2     2.4   two
0500+019  0.58471  896.38     0.00   96   41.748   -0.0247   4.878  -0.547     100.2     2.4   two
0500+019  0.58471  896.38     0.00   97   54.728   -0.017   17.858  -0.377     100.2     2.4   two
0500+019  0.58471  896.38     0.00   98   54.728   -0.017   17.858  -0.377     100.2     2.4   two
0500+019  0.58471  896.38     0.00   99   56.498   -0.0156   19.628  -0.347     100.2     2.4   two
0500+019  0.58471  896.38     0.00   100   56.498   -0.0156   19.628  -0.347     100.2     2.4   two
0500+019  0.58471  896.38     0.00   101   60.038   -0.00842   23.168  -0.187     100.2     2.4   two
0500+019  0.58471  896.38     0.00   102   60.628   -0.00842   23.758  -0.187     100.2     2.4   two
0500+019  0.58471  896.38     0.00   103   60.628   -0.00707   23.758  -0.157     100.2     2.4   two
0500+019  0.58471  896.38     0.00   104   61.218   -0.00707   24.348  -0.157     100.2     2.4   two
0500+019  0.58471  896.38     0.00   105   67.118   -0.00932   30.248  -0.207     100.2     2.4   two
0500+019  0.58471  896.38     0.00   106   75.968   -0.0143   39.098  -0.317     100.2     2.4   two
0500+019  0.58471  896.38     0.00   107   76.558   -0.0143   39.688  -0.317     100.2     2.4   two
0500+019  0.58471  896.38     0.00   108   77.148   -0.0143   40.278  -0.317     100.2     2.4   two
0500+019  0.58471  896.38     0.00   109   80.028   -0.00436   43.158  -0.0967     100.2     2.4   two
0500+019  0.58471  896.38     0.00   110   80.028   -0.00436   43.158  -0.0967     100.2     2.4   two
0500+019  0.58471  896.38     0.00   111   85.328   0.00647   48.458  0.143     100.2     2.4   two
0500+019  0.58471  896.38     0.00   112   85.928   0.00601   49.058  0.133     100.2     2.4   two
0500+019  0.58471  896.38     0.00   113   86.528   0.00105   49.658  0.0233     100.2     2.4   two
0500+019  0.58471  896.38     0.00   114   86.528   0.00105   49.658  0.0233     100.2     2.4   two
0500+019  0.58471  896.38     0.00   115   92.428   -0.00165   55.558  -0.0367     100.2     2.4   two
0500+019  0.58471  896.38     0.00   116   92.428   -0.00165   55.558  -0.0367     100.2     2.4   two
0500+019  0.58471  896.38     0.00   117   93.028   -0.00165   56.158  -0.0367     100.2     2.4   two
0500+019  0.58471  896.38     0.00   118   98.328   0.0159   61.458  0.353     100.2     2.4   two
0500+019  0.58471  896.38     0.00   119   98.328   0.0159   61.458  0.353     100.2     2.4   two
0500+019  0.58471  896.38     0.00   120   98.928   0.00962   62.058  0.213     100.2     2.4   two
0500+019  0.58471  896.38     0.00   121   99.528   0.0105   62.658  0.233     100.2     2.4   two
0500+019  0.58471  896.38     0.00   122   99.528   0.0105   62.658  0.233     100.2     2.4   two
0500+019  0.58471  896.38     0.00   123   106.628   0.00827   69.758  0.183     100.2     2.4   two
0500+019  0.58471  896.38     0.00   124   106.628   0.00827   69.758  0.183     100.2     2.4   two
0500+019  0.58471  896.38     0.00   125   106.628   0.00827   69.758  0.183     100.2     2.4   two
0500+019  0.58471  896.38     0.00   126   106.628   0.00827   69.758  0.183     100.2     2.4   two
0500+019  0.58471  896.38     0.00   127   111.928   0.0105   75.058  0.233     100.2     2.4   two
0500+019  0.58471  896.38     0.00   128   111.928   0.0105   75.058  0.233     100.2     2.4   two
0500+019  0.58471  896.38     0.00   129   112.528   0.00872   75.658  0.193     100.2     2.4   two
