#freq[Hz] vel[km/s] flux[Jy/beam] noise[Jy/beam] tau tau_noise
1168565238.1 64609.046996 0.0 0.0 -0.0 -0.0
1168487116.37 64633.4098457 0.000348203844624 0.000393244369693 0.00413055683359 0.00466609696217
1168408994.64 64657.7759533 0.000219806155656 0.000636328689608 0.00260545697251 0.0075613755987
1168330872.91 64682.1453194 -0.000517611159012 0.000114872245201 -0.006108785267 0.00136078331691
1168252751.18 64706.5179447 -0.00016325499746 0.000229206589179 -0.00193074789638 0.00271703586769
1168174629.45 64730.8938298 0.000677139731124 0.000500936544019 0.00804828221727 0.00594774061545
1168096507.72 64755.2729754 0.000828187447041 0.00042586709075 0.00985246116306 0.00505416628979
1168018385.99 64779.6553822 0.00055065919878 0.00034036573667 0.00654004425286 0.00403738957915
1167940264.26 64804.0410508 6.21650833637e-05 0.000104694839932 0.000736181297605 0.0012401463907
1167862142.53 64828.4299819 -0.000453186163213 0.000499043792764 -0.0053504793397 0.00592520081176
1167784020.8 64852.822176 -0.000251829507761 0.000281480439308 -0.00297672338202 0.00333773003883
1167705899.07 64877.2176339 0.000572620891035 0.000450507808137 0.00680176692618 0.0053473841526
1167627777.34 64901.6163563 0.000701503711753 0.000805731329328 0.0083390760044 0.00958402954759
1167549655.61 64926.0183437 0.000546860101167 0.000646609610442 0.00649477645817 0.00768401242939
1167471533.88 64950.4235969 0.000980726093985 0.0013089754204 0.0116777578562 0.0156169661592
1167393412.15 64974.8321164 0.000864434812684 0.00122513411252 0.0102859000224 0.0146093386987
1167315290.42 64999.243903 -0.000143577213748 0.000474885486389 -0.00169822454693 0.0056375565505
1167237168.69 65023.6589573 -0.000966030405834 0.000478546545844 -0.011370974626 0.0056811421492
1167159046.96 65048.07728 -0.000669274770189 0.000542691245122 -0.00789165490022 0.00644510519916
1167080925.23 65072.4988716 0.000205051139346 0.000198923173184 0.00243034670396 0.00235762995331
1167002803.5 65096.923733 -0.000150140083861 0.000129549211892 -0.00177578098377 0.00153478100655
1166924681.77 65121.3518646 -0.00133353937417 0.00126757765167 -0.0156631319929 0.0151193097096
1166846560.04 65145.7832673 -0.00191273808014 0.0019334304993 -0.0223904497803 0.0231539499558
1166768438.31 65170.2179416 -0.00156049465295 0.00139465161611 -0.0183045831008 0.0166476957571
1166690316.58 65194.6558882 -0.00100871128961 0.000682791428771 -0.0118703935677 0.00811572994147
1166612194.85 65219.0971077 -0.00127792381682 0.00113518223638 -0.0150147766816 0.0135294005962
1166534073.12 65243.5416008 -0.00112807401456 0.00123800758262 -0.0132657618683 0.0147639895715
1166455951.39 65267.9893683 -0.000387529376894 0.000597377624955 -0.00457708270501 0.00709688092462
1166377829.66 65292.4404106 -0.000205978751183 0.000343647296587 -0.00243540885615 0.00407639461074
1166299707.93 65316.8947286 4.72388855997e-05 7.16677976065e-05 0.000559370441787 0.000848763631036
1166221586.2 65341.3523227 -0.00016422419867 0.000483141014513 -0.00194219910582 0.00573584284755
1166143464.47 65365.8131938 -0.00062257819809 0.000399962439252 -0.00734305562423 0.00474600063032
1166065342.74 65390.2773425 0.000126099272165 0.000206385657303 0.00149387872041 0.00244618329701
1165987221.01 65414.7447693 0.000649859197438 0.000128745574693 0.00772277853013 0.00152525298087
1165909099.28 65439.2154751 0.000319891463732 0.000355772468678 0.00379406416242 0.00422052912033
1165830977.55 65463.6894604 0.00034522335045 9.41490245365e-05 0.0040951283249 0.00111515790046
1165752855.82 65488.1667258 0.000151378393639 0.00014112809019 0.00179362531479 0.00167207175037
1165674734.09 65512.6472722 8.49594798638e-05 5.28233423773e-05 0.00100625660093 0.000625518429809
