-101.2	3.761	0.00000	0.00000
-101.2	-2.211	0.00000	107.0
-96.26	-0.5065	0.00000	0.00000
-93.77	1.369	0.00000	0.00000
-91.28	-2.214	0.00000	0.00000
-81.32	-5.118	0.00000	0.00000
-78.83	0.3417	0.00000	0.00000
-78.83	3.584	0.00000	0.00000
-76.34	-1.024	0.00000	0.00000
-68.87	-8.876	0.00000	0.00000
-63.90	-11.77	0.00000	0.00000
-63.90	-6.659	0.00000	0.00000
-63.90	-13.99	0.00000	0.00000
-56.43	-20.99	0.00000	0.00000
-53.94	-9.221	0.00000	0.00000
-51.45	-25.26	0.00000	0.00000
-48.96	-29.18	0.00000	0.00000
-46.47	-31.40	0.00000	0.00000
-46.47	-22.02	0.00000	0.00000
-39.00	-27.65	0.00000	0.00000
-39.00	-32.77	0.00000	0.00000
-39.00	-29.53	0.00000	0.00000
-24.06	-12.64	0.00000	0.00000
-19.08	-7.695	0.00000	0.00000
-16.59	-6.672	0.00000	0.00000
-16.59	-11.28	0.00000	0.00000
-14.10	0.8352	0.00000	0.00000
-11.61	-3.943	0.00000	0.00000
-9.128	-2.237	0.00000	0.00000
-4.149	-1.215	0.00000	0.00000
5.809	-2.754	0.00000	0.00000
10.78	-4.461	0.00000	0.00000
15.76	-5.145	0.00000	0.00000
18.25	-1.563	0.00000	0.00000
18.25	1.167	0.00000	0.00000
23.23	-0.3699	0.00000	0.00000
25.72	-2.589	0.00000	0.00000
38.17	-2.763	0.00000	0.00000
43.15	1.842	0.00000	0.00000
48.13	0.1349	0.00000	0.00000
60.58	-2.769	0.00000	0.00000
70.53	-1.919	0.00000	0.00000
