#freq[Hz] vel[km/s] flux[Jy/beam] noise[Jy/beam] tau tau_noise
1322229745.01 22259.6914518 0.0 0.0 -0.0 -0.0
1322151623.47 22278.7204408 0.0 0.0 -0.0 -0.0
1322073501.94 22297.7516786 0.0 0.0 -0.0 -0.0
1321995380.4 22316.7851657 0.0 0.0 -0.0 -0.0
1321917258.87 22335.8209024 0.0 0.0 -0.0 -0.0
1321839137.33 22354.8588892 0.0 0.0 -0.0 -0.0
1321761015.79 22373.8991264 0.0 0.0 -0.0 -0.0
1321682894.26 22392.9416145 0.0 0.0 -0.0 -0.0
1321604772.72 22411.9863538 0.0 0.0 -0.0 -0.0
1321526651.18 22431.0333448 0.0 0.0 -0.0 -0.0
1321448529.65 22450.0825878 0.0 0.0 -0.0 -0.0
1321370408.11 22469.1340832 0.000373878487153 0.000604144539707 0.00419041857281 0.0067799983778
1321292286.58 22488.1878315 0.000892870360985 0.0014678669369 0.0100365232831 0.0165536442263
1321214165.04 22507.243833 0.00103822420351 0.00156744985978 0.0116799844898 0.0176866636197
1321136043.5 22526.3020882 0.000959484954365 0.00106109331154 0.01078937417 0.0119388029735
1321057921.97 22545.3625974 0.000371870002709 0.000421046950382 0.00416786056416 0.0047203308429
1320979800.43 22564.4253611 -2.66760180239e-05 0.00025483469576 -0.00029831392873 0.00285427304507
1320901678.89 22583.4903796 0.000139941548696 0.000251722799537 0.0015664050736 0.00281936910692
1320823557.36 22602.5576533 0.00014400271175 0.000108962624007 0.00161189946878 0.00121943774372
1320745435.82 22621.6271827 0.000347831053659 0.000793641280901 0.00389790999674 0.00891612672155
1320667314.29 22640.6989681 0.000590115552768 0.00044554497249 0.00662203593748 0.00499566375709
1320589192.75 22659.77301 -0.000195159809664 0.0007157829483 -0.00218038980852 0.00803790552432
1320511071.21 22678.8493087 -0.00129979581106 0.00207059263592 -0.0144329331835 0.0234309559252
1320432949.68 22697.9278646 -0.00114957790356 0.00185051483372 -0.0127755202369 0.0209143055468
1320354828.14 22717.0086782 1.01510086097e-05 2.52493621569e-05 0.000113540593515 0.000282441852139
1320276706.6 22736.0917499 0.00119882158469 0.00146593608467 0.0134989448862 0.016531688352
1320198585.07 22755.17708 0.00134425947908 0.00218819115058 0.0151490654429 0.0247783282596
1320120463.53 22774.2646689 0.000559281324968 0.000591300626988 0.00627493888467 0.00663537857448
1320042342.0 22793.3545171 -0.000360639591236 0.000740497278673 -0.00402546726166 0.00831659302445
1319964220.46 22812.446625 -0.00120696681552 0.00201529728769 -0.013409038863 0.0227980423676
1319886098.92 22831.5409928 -0.00126184476539 0.00139032243035 -0.0140144637136 0.0156722583282
1319807977.39 22850.6376212 -0.000401736557251 1.80830343869e-05 -0.00448316571038 0.000202270495839
1319729855.85 22869.7365104 0.00106351904105 0.00189378943156 0.0119662598164 0.021408662516
1319651734.31 22888.8376608 0.00192883925047 0.00305434968023 0.0218092411058 0.0347585724398
1319573612.78 22907.9410729 0.000704757287167 0.000863494136524 0.00791360133225 0.00970470520889
1319495491.24 22927.0467471 -0.00156833347864 0.00151228534074 -0.0173889868981 0.017058862576
1319417369.71 22946.1546837 -0.00168285064865 0.00199606384544 -0.0186469351806 0.0225779892092
1319339248.17 22965.2648832 -0.00010593738989 0.000312941533634 -0.00118415735223 0.00350624019146
1319261126.63 22984.377346 -0.000477177003631 0.000403799289625 -0.00532280394459 0.00452653009875
1319183005.1 23003.4920724 -0.00133518350776 0.00119343720637 -0.0148229800219 0.013437906627
1319104883.56 23022.6090629 -0.000786281947512 0.000535492102184 -0.00875574170656 0.00600722888089
