#freq[Hz] vel[km/s] flux[Jy/beam] noise[Jy/beam] tau tau_noise
1211359298.72 51735.7235227 0.0 0.0 -0.0 -0.0
1211281179.91 51758.3945294 0.0 0.0 -0.0 -0.0
1211203061.1 51781.0684605 0.0 0.0 -0.0 -0.0
1211124942.29 51803.7453166 0.0 0.0 -0.0 -0.0
1211046823.47 51826.4250983 0.0 0.0 -0.0 -0.0
1210968704.66 51849.1078061 0.0 0.0 -0.0 -0.0
1210890585.85 51871.7934406 0.0 0.0 -0.0 -0.0
1210812467.04 51894.4820023 0.0 0.0 -0.0 -0.0
1210734348.23 51917.1734918 0.0 0.0 -0.0 -0.0
1210656229.42 51939.8679097 0.0 0.0 -0.0 -0.0
1210578110.6 51962.5652566 0.0 0.0 -0.0 -0.0
1210499991.79 51985.265533 0.0 0.0 -0.0 -0.0
1210421872.98 52007.9687394 0.0 0.0 -0.0 -0.0
1210343754.17 52030.6748765 0.0 0.0 -0.0 -0.0
1210265635.36 52053.3839449 0.0 0.0 -0.0 -0.0
1210187516.55 52076.095945 0.0 0.0 -0.0 -0.0
1210109397.74 52098.8108774 0.0 0.0 -0.0 -0.0
1210031278.92 52121.5287428 0.0 0.0 -0.0 -0.0
1209953160.11 52144.2495417 0.0 0.0 -0.0 -0.0
1209875041.3 52166.9732747 0.0 0.0 -0.0 -0.0
1209796922.49 52189.6999422 0.0 0.0 -0.0 -0.0
1209718803.68 52212.429545 0.0 0.0 -0.0 -0.0
1209640684.87 52235.1620835 0.0 0.0 -0.0 -0.0
1209562566.05 52257.8975584 0.0 0.0 -0.0 -0.0
1209484447.24 52280.6359701 0.000454773573438 0.000856670393926 0.00955701256779 0.0180795273903
1209406328.43 52303.3773194 0.000399086449761 0.00058021764391 0.00838183513341 0.0122093564354
1209328209.62 52326.1216066 -0.00161871104501 0.00167156537501 -0.0332945207771 0.0355861659347
1209250090.81 52348.8688325 -0.0020539406687 0.0015659580965 -0.042060636579 0.0333000117839
1209171972.0 52371.6189976 0.000186917342944 1.90286980485e-05 0.00391699662184 0.000398060258131
