#freq[Hz] vel[km/s] flux[Jy/beam] noise[Jy/beam] tau tau_noise
1397922997.19 4821.55314768 0.0 0.0 -0.0 -0.0
1397844866.96 4838.57904399 0.0 0.0 -0.0 -0.0
1397766736.74 4855.60684369 0.0 0.0 -0.0 -0.0
1397688606.51 4872.63654707 0.0 0.0 -0.0 -0.0
1397610476.28 4889.66815448 0.0 0.0 -0.0 -0.0
1397532346.06 4906.70166621 0.0 0.0 -0.0 -0.0
1397454215.83 4923.7370826 0.0 0.0 -0.0 -0.0
1397376085.6 4940.77440395 0.0 0.0 -0.0 -0.0
1397297955.38 4957.8136306 0.0 0.0 -0.0 -0.0
1397219825.15 4974.85476286 0.0 0.0 -0.0 -0.0
1397141694.92 4991.89780105 0.0 0.0 -0.0 -0.0
1397063564.7 5008.94274549 -0.00020189397037 0.000170566639671 -0.00564842223898 0.00479696164747
1396985434.47 5025.9895965 -0.000476574408822 0.000474392590057 -0.0132823287873 0.0133990850707
1396907304.24 5043.03835441 -0.000295318837743 0.000475621055308 -0.00825142707859 0.0134340168359
1396829174.01 5060.08901952 0.000115891525638 3.44385583922e-05 0.00325678892878 0.00096668678587
1396751043.79 5077.14159216 -4.68567886855e-05 5.30370400997e-05 -0.00131376634175 0.00148913311688
1396672913.56 5094.19607265 -0.000412760506151 0.000543056246441 -0.0115140052991 0.0153534304151
1396594783.33 5111.25246131 -3.75178206014e-05 1.45985425396e-07 -0.00105205889547 4.09582423336e-06
1396516653.11 5128.31075846 0.000596331199631 0.00101550417644 0.0168724092037 0.0289050799866
1396438522.88 5145.37096443 0.000625226181 0.000753901400889 0.0176972308133 0.0213786121599
1396360392.65 5162.43307952 3.69845947716e-05 9.85991582474e-05 0.0010381908753 0.00277016427471
1396282262.43 5179.49710407 -0.000130821645143 0.000324246499132 -0.0036636563706 0.0091387999731
1396204132.2 5196.56303839 0.000498768989928 0.000455881944478 0.0140924632859 0.0128728771673
1396126001.97 5213.6308828 0.000846109818667 0.00111092119113 0.0240250435786 0.0316644447505
1396047871.75 5230.70063763 0.000676955562085 0.0011471685535 0.0191755730756 0.032714681138
1395969741.52 5247.77230319 0.000360699836165 0.000948456640092 0.0101714695092 0.0269706770391
1395891611.29 5264.8458798 -5.59071340831e-05 0.000254370558546 -0.0015673203351 0.00716229343283
1395813481.07 5281.9213678 -0.000180948190973 9.02637173145e-05 -0.00506389966243 0.00253568111961
1395735350.84 5298.99876749 -4.91225364385e-05 0.000289802180286 -0.00137724944282 0.00816402186808
1395657220.61 5316.07807919 -4.80259295728e-05 2.93863224489e-05 -0.00134652454673 0.000824812540305
1395579090.39 5333.15930324 -0.000242572859861 0.000136944318122 -0.00678265089134 0.00384955556099
1395500960.16 5350.24243995 -0.000387791049434 0.000409456227556 -0.0108212338659 0.0115543356427
1395422829.93 5367.32748964 2.15791369556e-05 9.82516324612e-05 0.000605614820238 0.00276038697562
1395344699.71 5384.41445263 0.000160900744959 0.000106076075862 0.00452450518609 0.00298054321682
1395266569.48 5401.50332925 -0.000300087296637 9.44433038836e-05 -0.00838410437254 0.00265324962814
1395188439.25 5418.59411982 0.00011348107364 0.000141771739962 0.0031889421736 0.00398552695162
1395110309.03 5435.68682465 0.000555506208912 0.000769027531929 0.0157081979816 0.0218122603678
1395032178.8 5452.78144407 -0.000392446294427 0.000566225567092 -0.0109504288959 0.0160137520265
1394954048.57 5469.8779784 -0.00112032424659 0.00167120395509 -0.0309483133025 0.0480227078006
1394875918.35 5486.97642797 -0.00106490403414 0.00140412119757 -0.0294396720367 0.0401914571148
1394797788.12 5504.07679309 -0.000619139638729 0.000789500054206 -0.017221641043 0.02239948292
1394719657.89 5521.17907409 -6.24948734185e-05 7.69300905361e-05 -0.00175184166721 0.00216070896149
1394641527.66 5538.28327128 0.000305570865748 0.000439110481211 0.00861015951888 0.0123963485179
1394563397.44 5555.389385 0.000785666052252 0.00113554003174 0.0222894842745 0.0323776344635
1394485267.21 5572.49741556 0.000616703939158 0.00080647643428 0.0174538884374 0.0228866857185
1394407136.98 5589.60736328 4.26506012445e-05 0.000183782889119 0.00119733603212 0.00516961356559
1394329006.76 5606.71922849 -0.00038838328328 7.91599793442e-05 -0.0108376708061 0.00222340875764
1394250876.53 5623.83301152 -0.000371057889424 0.000161500031064 -0.0103567077336 0.00454139534619
1394172746.3 5640.94871267 0.000151393498527 0.000218105353878 0.00425659300302 0.00613803590204
1394094616.08 5658.06633228 -6.1651415308e-05 0.000154123069184 -0.00172821846566 0.00433350437859
1394016485.85 5675.18587066 -0.00066657824209 0.000761009153261 -0.0185290143977 0.0215823595558
1393938355.62 5692.30732815 -0.000463530712295 0.000411040934785 -0.0129211338985 0.0115993144269
1393860225.4 5709.43070505 0.000183078460395 0.00065118410091 0.00514974764023 0.0184387931054
1393782095.17 5726.55600171 0.000330915383529 0.000661049276654 0.00932763999715 0.0187207643638
1393703964.94 5743.68321843 -1.58425846166e-05 3.30051844252e-05 -0.000444386090376 0.000926433483046
1393625834.72 5760.81235554 0.000110237902845 4.34201194049e-05 0.00309766422697 0.00121895199002
1393547704.49 5777.94341337 0.000270980875939 0.000438818014141 0.00763177802191 0.0123880406466
1393469574.26 5795.07639223 0.000111254135845 0.000191200864566 0.0031262648652 0.0053788353392
1393391444.04 5812.21129245 0.000363469676813 0.000217158999825 0.0102499786397 0.00611132155997
1393313313.81 5829.34811436 0.000195592889213 0.000169092136174 0.00550273171218 0.00475539442587
1393235183.58 5846.48685827 -0.000685825187247 0.000851638389688 -0.0190589591563 0.0241839393217
1393157053.36 5863.62752452 -0.00105197436642 0.00114576619591 -0.029087374751 0.0326740285059
1393078923.13 5880.77011342 -0.000805324525572 0.000945452142886 -0.0223429800434 0.0268840811774
1393000792.9 5897.91462529 -0.000371165719116 0.000721737488087 -0.0103597018645 0.0204571355837
1392922662.68 5915.06106047 0.000410400971305 0.00022735357858 0.0115811500842 0.00639913880897
1392844532.45 5932.20941927 0.000661331112497 0.000338256504552 0.0187288211014 0.009535556708
1392766402.22 5949.35970202 6.13767042523e-05 0.00026627799844 0.00172348966618 0.00749883052712
1392688272.0 5966.51190904 -0.000116629365948 0.000297888389913 -0.0032668504669 0.00839277717609
1392610141.77 5983.66604065 0.000757845118642 0.00125747092522 0.0214916557411 0.0359174002718
1392532011.54 6000.82209719 0.00136409187689 0.00186075817137 0.0390230066128 0.0536181554584
1392453881.31 6017.98007897 0.000725397840142 0.000529925950726 0.0205619596405 0.0149794127455
1392375751.09 6035.13998631 0.000224075309234 0.000185776610121 0.00630657641768 0.00522584156742
1392297620.86 6052.30181955 0.000707441009581 0.000714426717485 0.0200478225871 0.0202478048268
1392219490.63 6069.46557901 0.000844394322485 0.000800858460315 0.0239757439195 0.0227254299761
1392141360.41 6086.63126501 0.000554801779799 0.000766656123666 0.0156881215815 0.0217442624788
1392063230.18 6103.79887787 0.000820842687972 0.00126053229342 0.0232991663691 0.0360064360484
1391985099.95 6120.96841792 0.000244727183599 0.000429658591036 0.00688982803689 0.0121278913782
