#velo flux_rev
1319396057.78 -0.000116659044579
1319317932.78 2.38819065999e-05
1319239807.78 3.91868525185e-06
1319161682.78 0.000211168531678
1319083557.79 0.000514594779816
1319005432.79 0.000566605653148
1318927307.79 0.000933968112804
1318849182.8 0.00109313696157
1318771057.8 0.000671872927342
1318692932.8 0.000290009425953
1318614807.8 9.26489228732e-05
1318536682.81 -0.000117585383123
1318458557.81 -0.000307722162688
1318380432.81 6.31591246929e-05
1318302307.82 0.000636335869785
1318224182.82 0.000650070025586
1318146057.82 0.000152560256538
1318067932.82 -0.000355458323611
1317989807.83 -0.0003665102995
1317911682.83 1.63691584021e-05
1317833557.83 0.000580747902859
1317755432.84 0.000746362551581
1317677307.84 0.000523558584973
1317599182.84 0.000241980233113
1317521057.84 -6.29073474556e-06
1317442932.85 0.000246324925683
1317364807.85 8.57085397001e-05
1317286682.85 -0.00027505622711
1317208557.86 0.000222441914957
1317130432.86 0.000385365216061
1317052307.86 -0.000215657462832
1316974182.86 -0.000734311062843
1316896057.87 -0.0005202711327
1316817932.87 -3.49084148183e-05
1316739807.87 5.14436105732e-05
1316661682.88 0.000116984403576
1316583557.88 5.76297024963e-05
1316505432.88 6.61484591546e-06
1316427307.88 1.99175265152e-05
1316349182.89 -5.05500611325e-05
1316271057.89 -0.000155201356392
1316192932.89 -0.000439180526882
1316114807.9 -0.000296938640531
1316036682.9 0.000239523884375
1315958557.9 0.000204051524634
1315880432.9 -0.000252206838923
1315802307.91 -0.000139733863762
1315724182.91 8.12820944702e-05
1315646057.91 -0.00023228675127
1315567932.92 -0.000345669948729
1315489807.92 -0.000236216787016
1315411682.92 -6.89485896146e-05
1315333557.92 6.55266921967e-05
1315255432.93 5.53064528503e-05
1315177307.93 -4.32499218732e-05
1315099182.93 -0.000154957931954
1315021057.94 -0.000205544216442
1314942932.94 -0.000429828214692
1314864807.94 -0.000296407786664
1314786682.94 0.000186974531971
1314708557.95 0.000446063786512
1314630432.95 0.00020967196906
1314552307.95 -0.000364574574633
1314474182.96 -0.000440086063463
1314396057.96 -0.00032389833359
1314317932.96 -0.000524715345819
1314239807.96 -0.000612597563304
1314161682.97 -0.000373253365979
1314083557.97 3.93467344111e-05
1314005432.97 0.000312760355882
1313927307.98 0.000398517935537
1313849182.98 0.000209517631447
1313771057.98 -0.000183068303159
1313692932.98 -0.000163112825248
1313614807.99 0.00015850244381
1313536682.99 5.57695166208e-05
1313458557.99 -0.000121422497614
1313380433.0 5.9790625528e-05
1313302308.0 0.000395692070015
1313224183.0 0.000786807970144
1313146058.0 0.00108465272933
1313067933.01 0.00126812106464
1312989808.01 0.00111060321797
1312911683.01 0.000512331025675
1312833558.02 -9.83121790341e-05
1312755433.02 -0.000451756815892
1312677308.02 -0.000387946725823
1312599183.02 4.41708762082e-05
1312521058.03 0.000110121465696
1312442933.03 5.07860459038e-05
1312364808.03 0.000318832404446
1312286683.04 0.000549370713998
1312208558.04 0.000541500456166
1312130433.04 0.000174714674358
1312052308.04 -0.000132829154609
1311974183.05 -0.000166349083884
1311896058.05 -0.000131917229737
1311817933.05 -0.000125060920254
1311739808.06 -0.000340342288837
1311661683.06 -0.000455165398307
1311583558.06 -0.000375495292246
1311505433.06 -0.000147010869114
1311427308.07 0.000303218315821
1311349183.07 0.000305726978695
1311271058.07 5.29928947799e-05
1311192933.08 4.50814804935e-05
1311114808.08 -3.16361256409e-05
1311036683.08 -2.90205935016e-06
1310958558.08 0.000446071382612
1310880433.09 0.000593697361182
1310802308.09 0.000451550935395
1310724183.09 0.000596565718297
1310646058.1 0.000540277222171
1310567933.1 0.000354255607817
1310489808.1 0.000300168321701
1310411683.1 0.000116072726087
1310333558.11 -0.000191422732314
1310255433.11 -0.000191547238501
1310177308.11 0.000418138341047
1310099183.12 0.000838931708131
1310021058.12 0.000466206402052
1309942933.12 4.49384933745e-05
1309864808.12 8.76808553585e-05
1309786683.13 0.000295888981782
1309708558.13 -2.82510882244e-07
1309630433.13 -0.000286172900815
1309552308.14 8.0374215031e-05
1309474183.14 0.000258015614236
1309396058.14 0.000454719585832
1309317933.14 0.000486392818857
1309239808.15 -0.000133257344714
1309161683.15 -0.000631378788967
1309083558.15 -0.000511913851369
1309005433.16 -2.78487386822e-05
1308927308.16 -3.22951382259e-05
1308849183.16 -0.000284471578198
1308771058.16 -4.85851414851e-05
1308692933.17 0.000159279210493
1308614808.17 -0.000302451488096
1308536683.17 -0.000462807656731
1308458558.18 0.000203800620511
1308380433.18 0.000446628662758
1308302308.18 0.000113708905701
1308224183.18 -9.09226655494e-05
1308146058.19 -0.000262183748418
1308067933.19 -0.000433506298577
1307989808.19 -5.49895048607e-05
