,Filename,A,B_1,B_2,C,XE_0,XP_0,W,N,X,W_50,W_20,F_peak,F_int
39,J132513.37+395553.2.txt,0.0362217,0.797263,0.0231335,0.0,94.8361,0.1,10.983,0.0,260.909,573.697,973.273,0.0266774,16.8316
40,J133455.94+134431.7.txt,0.176069,0.928691,1.24477,0.0,121.888,0.1,2.09286,0.0,-101.289,70.6087,89.6394,0.175778,12.4244
41,J133817.24+481629.7.txt,0.0133996,0.46617,2.94175,0.00533217,137.631,138.077,4.25953,4.15208,132.12,185.079,205.138,0.0299187,3.76235
42,J134035.20+444817.3.txt,0.434361,0.361138,2.38943,0.0,92.4035,0.1,0.502248,0.0,-13.5732,38.2033,64.365,0.249442,10.6195
43,J134111.14+302241.3.txt,0.171124,0.215224,0.074727,0.0,124.977,0.1,-0.516815,0.0,39.0323,197.09,318.785,0.0471138,10.2787
44,J134442.16+555313.5.txt,0.066766,0.23894,0.304092,0.00544889,99.6103,104.324,16.1987,1.5563,90.1952,562.21,639.378,0.0895496,44.3822
45,J134649.45+142401.7.txt,0.0169743,0.946249,6.98544,0.0,115.73,0.1,1.335,0.0,-205.957,45.0872,57.2656,0.0169473,0.762413
46,J135217.88+312646.4.txt,0.0285829,0.314066,0.456394,8.89055e-06,84.1625,81.8516,4.31321,6.66155,-130.463,105.418,223.623,0.0571723,7.64489
47,J135646.10+102609.0.txt,0.0591774,6.23708,1.26731,0.0,137.793,0.1,6.75231,0.0,184.09,250.194,261.609,0.0591774,14.8164
48,J135806.05+214021.1.txt,0.0226151,0.746756,0.624041,0.519139,130.546,131.506,2.43166,2.65342,24.671,45.6199,72.8752,0.162345,9.72448
49,J142210.81+210554.1.txt,492836000.0,0.0458418,0.356052,0.0,134.178,0.1,-48.7091,0.0,-168.21,116.382,186.48,0.033177,4.30183
50,J143521.67+505122.9.txt,0.31773,0.590808,0.10325,0.0359898,75.7745,83.0136,-6.42829,3.17176,-69.6432,225.865,300.9,0.0075248,1.57718
51,J144921.58+631614.0.txt,0.00786475,0.0585615,0.181345,0.119637,102.638,91.291,-4.54737,1.6639,27.0514,160.325,455.355,0.00368054,0.863905
52,J150034.56+364845.1.txt,3878460000.0,0.363711,0.0496021,0.0,48.0868,0.1,-45.536,0.0,34.5924,100.2,159.618,0.163453,18.1626
53,J150721.87+101844.8.txt,0.00694999,0.239066,0.937629,0.0178456,128.985,127.867,2.86134,3.42237,-15.4276,68.0659,241.934,0.0113267,1.4042
54,J151319.23+343133.7.txt,0.00287354,0.371386,0.448484,109.99,129.281,130.564,3.02951,0.0709946,22.9807,123.592,174.778,0.299187,37.122
55,J152446.01+230723.5.txt,0.0307639,1.06217,0.391746,7.92295e-06,133.387,134.184,5.10293,7.19177,119.436,147.459,313.923,0.0601176,9.58222
56,J152922.49+362142.2.txt,1.73733,0.165216,0.092569,0.0,87.7009,0.1,-5.68242,0.0,-16.5258,188.467,291.389,0.0620319,12.603
57,J153437.61+251311.4.txt,0.988146,0.404731,0.702364,0.248896,123.848,126.986,-0.523929,0.47794,-83.024,44.2789,68.8866,0.20036,9.59373
