Filename	Success	Nchan	dof	chi^2	chi^2/dof	rms	A	dA	B_1	dB_1	B_2	dB_2	C	dC	XE_0	dXE_0	XP_0	dXP_0	W	dW	N	dN	X	dX	W_50	dW_50	W_20	dW_20	F_peak	dF_peak	F_int	dF_int
J090325.54+162256.0.txt	0	220	212	1434.97	6.76873	0.01	0.0165131	0.0838807	0.706765	1.2181	0.452182	0.531729	2.49055	10.7737	128.719	1.40513	129.229	0.860912	1.93778	7.02213	1.67556	4.3589	17.2089	4.86815	118.199	20.5966	160.788	9.50935	0.101144	0.00998072	8.4637	0.662301
J090734.91+325722.9.txt	0	220	212	2498.71	11.7864	0.01	0.0227895	5.604	2.61961	4453.41	0.427338	0.33529	10.1098	2679.05	127.834	185.57	126.232	11.9683	2.61616	186.847	0.477329	7.04242	16.4249	742.778	102.47	3200.26	128.709	209.341	0.322979	0.00866717	28.7719	375.656
J090937.44+192808.2.txt	0	185	177	87.8035	0.496065	0.01	0.0745354	0.114746	0.249055	0.391473	0.873339	8.6281	0.181832	7.30523	95.7289	33.7607	96.2306	35.1577	1.7529	8.93085	2.37169	27.7992	-30.5679	3.44099	106.122	16.8433	185.032	13.5445	0.119096	0.00665614	14.365	0.894433
J093551.59+612111.3.txt	0	185	180	37.3054	0.207252	0.01	0.0740369	0.0299736	0.0466234	0.0164174	0.101511	0.0277938	0	0	90.4133	2.97529	0.1	0	12.2988	5.64677	0	0	-74.1974	17.7777	527.342	40.2194	806.61	42.943	0.0569721	0.00304077	31.8561	1.5092
J102053.67+483124.3.txt	0	185	177	110.818	0.626093	0.01	0.0188522	0.519833	0.89002	9.65079	0.866945	1.06016	0.063653	5.66131	90.0323	8.6662	85.9824	376.583	3.9252	7.9283	1.35506	38.1217	-53.9587	13.254	126.271	38.0637	156.028	283.786	0.0328052	0.00854512	3.76299	0.713091
J102400.53+511248.1.txt	1	220	215	970.569	4.51428	0.01	569.267	65495.2	0.0310979	0.202729	0.737392	0.511164	0	0	157.408	605.69	0.1	0	-40.3779	606.28	0	0	-321.02	23.0591	124.044	13.6902	239.057	25.0519	0.0798471	0.00674222	12.4676	1.16956
J102544.22+102230.4.txt	0	220	212	222.158	1.04791	0.01	0.144929	6.854	0.860913	0.876638	2.92158	1465.89	0.01218	42.8574	127.055	13.5234	124.001	75.1211	1.89568	11.6728	0.42682	948.522	-15.1247	80.6945	65.1867	367.085	80.9076	999.511	0.148072	0.01	9.65112	60.5138
J103932.12+461205.3.txt	0	220	215	2137.51	9.9419	0.01	0.201925	0.197561	0.565137	0.56203	0.597468	0.585229	0	0	128.596	0.270344	0.1	0	1.67529	1.66363	0	0	13.9136	2.06505	75.1902	5.14389	111.499	5.72	0.169286	0.00868303	13.2995	0.590679
J110017.98+100256.8.txt	0	220	212	213.978	1.00933	0.01	0.147411	0.0598929	0.350994	0.0544585	0.273096	0.0314235	0.0260714	0.0169238	124.083	0.620768	122.619	0.574153	2.58321	1.2664	3.3268	0.459309	-9.16899	1.76769	100.082	2.90339	195.363	6.81929	0.369022	0.00635008	46.1848	0.765592
J111113.19+284147.0.txt	0	220	215	1120.35	5.21092	0.01	0.125168	0.109185	0.11023	0.0829487	0.716448	0.513475	0	0	133.268	3.67067	0.1	0	3.28369	4.15506	0	0	51.1327	7.42465	149.387	14.9446	240.749	15.3223	0.0933455	0.006243	15.0716	0.835979
J111916.54+623925.7.txt	1	220	215	3573.39	16.6204	0.01	1.6803e+09	2.13305e+12	0.384197	0.150755	0.058056	1.61334	0	0	85.1177	2258.94	0.1	0	-37.6165	2266.92	0	0	-91.8442	17.9549	96.8118	10.5406	153.253	24.3063	0.279526	0.0339212	29.8664	5.02938
J112030.04+273610.7.txt	0	185	180	66.1941	0.367745	0.01	0.360523	2.49798	0.465494	0.821465	0.554427	0.673497	0	0	88.5756	1.45337	0.1	0	0.56346	7.85761	0	0	-89.2144	2.38628	58.5347	5.19586	90.1545	5.56864	0.1557	0.0106877	9.77667	0.555956
J112332.04+235047.8.txt	0	220	212	151.409	0.714193	0.01	0.0107063	0.0153743	0.873761	0.603929	0.680468	0.518374	6.59936e-05	0.000633017	32.4503	1.37107	32.9753	0.80592	1.55895	2.67753	10.9249	9.57798	-1906.4	24.4176	33.132	17.5683	180.289	67.1152	0.0261932	0.0112491	1.75877	0.655154
J120231.12+163741.8.txt	1	185	180	186.334	1.03519	0.01	0.328448	4.74847	0.349649	0.203792	0.0619252	0.174335	0	0	74.3521	65.4523	0.1	0	-5.45969	68.1516	0	0	-123.367	30.5447	159.459	38.4402	273.954	48.8027	0.0355161	0.0054166	6.53349	1.04105
J122513.09+321401.6.txt	0	220	212	259.793	1.22544	0.01	0.0414317	0.0190298	0.676609	0.258216	0.962671	1.35921	0.42203	0.819633	139.15	1.21312	139.973	1.29866	2.23488	1.32223	2.34747	1.81014	175.964	2.91669	51.5176	5.22166	120.752	7.39284	0.14222	0.00886207	9.49094	0.543711
